Nome: VACARIA
Codigo Estacao: A880
Latitude: -28.51361111
Longitude: -50.88277777
Altitude: 969.89
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;21;174,6;904,4;19,8;9,6;3,3;
2010-02-28;16;317,2;905,3;20,7;8,4;3,4;
2010-03-31;23;170,2;905,1;18,4;10,4;2,9;
2010-04-30;21;187;908,3;15,4;8,2;3,3;
2010-05-31;26;163,4;907,5;12,3;8,2;3,1;
2010-06-30;18;113,4;909,6;10,9;10,1;3,7;
2010-07-31;15;148,8;909,6;11,1;10,7;4,2;
2010-08-31;6;73,2;909,6;11,6;10,7;3,9;
2010-09-30;13;186,4;906,7;13,6;11,1;4,1;
2010-10-31;17;136,6;905,5;13,7;11,5;3,2;
2010-11-30;14;217,2;903,1;16,3;12,7;3,2;
2010-12-31;16;167,8;902,1;18,4;8,7;3,4;
2011-01-31;19;245,2;902,7;20,3;8,4;2,9;
2011-02-28;19;196,8;904,6;19,8;8,8;3,1;
2011-03-31;13;169,6;906,3;17,4;9,3;3,6;
2011-04-30;22;137,2;906,8;15,9;8,1;3,1;
2011-05-31;21;105;908,7;11,9;10,6;3,3;
2011-06-30;25;197,6;907,1;9,5;8,2;3,5;
2011-07-31;16;292,4;907,6;10,7;9,5;3,5;
2011-08-31;20;305,6;906,9;11,2;13,5;4,5;
2011-09-30;15;88,6;909,1;12,5;10,1;4,1;
2011-10-31;17;140,8;904,6;15,6;10;3,7;
2011-11-30;9;40,8;905,3;16,8;10,1;3,6;
2011-12-31;16;78,8;903,3;17,6;7,8;3,4;
2012-01-31;5;null;null;null;7,6;null;
2012-02-29;null;null;null;null;8,6;null;
2012-03-31;3;null;null;15,9;9,6;null;
2012-04-30;11;54,6;906;15,7;9,1;3;
2012-05-31;9;23,8;909,3;13,2;8,2;3,3;
2012-06-30;17;148;907,9;11,2;9,4;3,3;
2012-07-31;17;224,8;908,1;9,9;10,8;3,6;
2012-08-31;6;40,8;911,3;14,5;11,1;4,3;
2012-09-30;11;154,6;908,2;14,1;11,5;4,1;
2012-10-31;13;142,8;905,1;16,6;10,7;4;
2012-11-30;5;70;904,7;18,2;8,7;3,4;
2012-12-31;16;180,8;903;20,6;11,1;3,6;
2013-01-31;12;108;905,5;18,5;7,7;3,2;
2013-02-28;20;147,4;904,8;19,1;7,6;3;
2013-03-31;19;150,4;906,2;16,6;8,8;2,9;
2013-04-30;9;65,6;907,5;15,2;10,2;3,1;
2013-05-31;13;91,6;907,1;12,7;10,3;3,4;
2013-06-30;23;165,8;907,5;11,6;9,9;3,2;
2013-07-31;11;50,8;909,5;10,2;12,6;3,5;
2013-08-31;15;289,2;908,3;11,1;11,4;3,7;
2013-09-30;14;204,8;907,5;13,4;8,8;3,7;
2013-10-31;13;159,6;906,5;14,7;9,5;3,6;
2013-11-30;10;102,6;904,8;17,6;11,9;4,2;
2013-12-31;10;70,2;903,1;20,1;8,1;3,3;
2014-01-31;14;199,8;905,7;21,1;11,9;3,3;
2014-02-28;13;97,6;906,1;20,8;8,5;3,5;
2014-03-31;17;192,4;906;17,7;9,3;3,3;
2014-04-30;14;146,8;907,9;15,8;12,5;3,2;
2014-05-31;21;206,8;907,6;12,4;10,5;3;
2014-06-30;22;360;907,5;11,8;11,8;3,8;
2014-07-31;14;89,4;910,6;11,2;11,3;3,8;
2014-08-31;13;104,8;909;12,5;9,6;3,5;
2014-09-30;14;242,2;906,3;14,9;13,7;4,1;
2014-10-31;11;195,8;907,2;17,1;10,8;3,6;
2014-11-30;13;147,2;905;18,1;11,1;3,2;
2014-12-31;14;302,2;904,5;19,3;12,6;3,4;
2015-01-31;18;136,8;906,2;20,2;11;3,1;
2015-02-28;20;176,2;905,3;19,4;8,4;2,7;
2015-03-31;17;175,4;906,4;18,4;6,7;2,5;
2015-04-30;11;123,2;907,6;15,9;7,3;2,6;
2015-05-31;13;137;908,6;13,4;7,9;3,2;
2015-06-30;14;168,8;909,8;11,3;8,9;3,5;
2015-07-31;21;360;908;12;9,6;3;
2015-08-31;7;50,8;908,2;15,5;8,8;3,7;
2015-09-30;15;248,4;904,9;14,3;13,8;3,1;
2015-10-31;18;338,6;905,9;15,9;9,8;3,6;
2015-11-30;19;149,8;903,8;17,2;11,4;3,3;
2015-12-31;21;275,4;904,3;19,8;10,3;3,4;
2016-01-31;14;175,4;904,7;20,5;9,1;3,1;
2016-02-29;20;159;905,4;20,6;8,6;2,8;
2016-03-31;13;null;null;17,8;6,5;null;
2016-04-30;null;null;null;null;null;null;
2016-05-31;15;72,6;908,6;11,7;9,5;2,6;
2016-06-30;3;11,4;910,4;8;12;2,6;
2016-07-31;12;202,6;908,3;10,7;8,8;3,6;
2016-08-31;16;127,8;907,7;12,1;null;null;
2016-09-30;12;71;908,2;12,5;11,4;3,2;
2016-10-31;14;310,8;905,7;14,9;10,2;null;
2016-11-30;14;62,6;905,2;16,9;9,9;3;
2016-12-31;17;179,8;904,1;19,3;10,4;3,2;
2017-01-31;18;205,6;905,2;20,2;7,6;2,8;
2017-02-28;15;102,2;905,3;20,7;38,3;3,3;
2017-03-31;20;71,2;906,8;18,1;8,6;2,9;
2017-04-30;13;160,6;907,7;15,3;9,2;3,4;
2017-05-31;21;247,4;907,6;14;18;3,5;
2017-06-30;19;156;908,8;11,8;20;3,6;
2017-07-31;8;28;913,4;11,6;10,7;3,8;
2017-08-31;12;100,4;908,2;12,8;11,8;3,9;
2017-09-30;11;120,2;909,1;17,2;11,5;3,6;
2017-10-31;19;208,6;904,7;15,4;9,9;3,7;
2017-11-30;15;156,6;903,8;16,3;12,3;3,3;
2017-12-31;13;161,2;903,7;19,7;9,1;3;
2018-01-31;21;178,6;904,5;19,3;9,7;3;
2018-02-28;11;97;905,3;18,5;7,8;2,7;
2018-03-31;19;172,2;904,6;18,9;9,6;2,6;
2018-04-30;10;49,6;908,9;17,6;7,2;2,6;
2018-05-31;16;153,4;909;13,2;8,4;3,4;
2018-06-30;19;206;908,8;10,7;13;3;
2018-07-31;17;184,6;908,9;11,9;9,6;3,2;
2018-08-31;11;139;909,2;10,2;9,2;3,3;
2018-09-30;16;235;906,2;14,8;8,3;3,1;
2018-10-31;14;256,4;905,6;15,4;9;3,2;
2018-11-30;13;201,6;905,2;18;8,7;3,4;
2018-12-31;12;141,8;905,2;19,4;9,1;2,8;
2019-01-31;15;179,8;906,4;21,6;11,6;3,1;
2019-02-28;14;132,8;905,3;19;9,5;2,4;
2019-03-31;15;133,6;907,3;17,8;8,1;2,6;
2019-04-30;20;122;906,4;17;7,9;2,2;
2019-05-31;21;289;907;14,7;7,1;2,6;
2019-06-30;13;26,8;909,7;13,4;10,1;3,1;
2019-07-31;12;130,8;909,2;10,8;10;3,1;
2019-08-31;10;53,8;910,9;11,5;9;3,3;
2019-09-30;10;79;907,5;14,3;9,9;3;
2019-10-31;16;277,4;906,4;16,9;9,6;3,1;
2019-11-30;14;188,6;904,8;17,9;9,1;3,3;
2019-12-31;8;80,6;904,5;19,5;8,9;3;
2020-01-31;14;null;904,2;20,4;7,7;2,6;
2020-02-29;null;null;null;null;7,5;null;
2020-03-31;null;null;null;null;8,8;null;
2020-04-30;null;null;null;null;9,9;null;
2020-05-31;10;null;907,8;12,3;9,4;3,2;
2020-06-30;17;184,8;907,4;12,5;11,1;3,8;
2020-07-31;19;422;907,8;10,4;11,4;3,4;
2020-08-31;5;74;909,1;12,9;8,9;3,2;
2020-09-30;12;123;907,2;15,2;9,5;3,3;
2020-10-31;4;39,4;905,5;16,9;8,6;3,2;
2020-11-30;12;94,4;906;17;9,8;2,7;
2020-12-31;19;175,2;904,3;19,1;11,1;3;
2021-01-31;22;325,2;904,6;19,3;10,1;2,9;
2021-02-28;15;101;904,6;18,5;8,4;2,3;
2021-03-31;17;101,8;905,3;18,6;6,6;2,4;
2021-04-30;1;null;null;null;null;null;
2021-05-31;7;null;null;10,4;10,6;null;
2021-06-30;14;162;908,8;10,3;10,3;2,8;
2021-07-31;6;55,6;910,4;9,7;7,8;3,3;
2021-08-31;9;63,4;909,6;13,5;8,5;3,3;
2021-09-30;15;198,6;906,7;14,9;9,2;3,3;
2021-10-31;19;153,8;906,1;15,1;8,4;3,1;
2021-11-30;10;105,6;904,2;17,9;8,9;2,7;
2021-12-31;9;72,8;904;19,1;7,2;2,6;
2022-01-31;13;148,4;904,4;21;7,8;2,6;
2022-02-28;16;77,2;904,8;19,7;7,5;2,8;
2022-03-31;18;171,2;905,6;18;9,5;3,1;
2022-04-30;16;138,4;906,8;15,2;11,3;3,1;
2022-05-31;23;427,8;907,2;11,1;14;3,1;
2022-06-30;19;312,2;907,7;9,8;8,8;3,2;
2022-07-31;9;87,4;907,6;13,7;10,1;3,8;
2022-08-31;11;140;909;11;11,1;3,6;
2022-09-30;12;56,2;907,6;11,6;9,5;3,7;
2022-10-31;17;156;905,4;14,7;10,6;3,2;
2022-11-30;8;32,2;906,9;15,7;8,6;3,3;
2022-12-31;15;151,4;903,6;19,1;8,1;3;
2023-01-31;14;102,4;904,6;20,2;6,2;3;
2023-02-28;12;151;904,9;18,8;7,1;2,6;
2023-03-31;14;109,2;906,6;19,5;7,6;2,9;
2023-04-30;16;152,6;906,6;15,2;7,8;2,9;
2023-05-31;12;104,6;909;13,7;6,2;2,6;
2023-06-30;15;164,6;909,4;11,6;10,1;3,2;
2023-07-31;14;159,2;909,1;11,7;11,9;3,4;
2023-08-31;12;56,8;907,2;12,9;11,5;3,4;
2023-09-30;18;448,4;905,5;15,6;10,9;3,9;
2023-10-31;13;null;null;14,2;8;null;
2023-11-30;null;null;null;null;null;null;
2023-12-31;9;null;null;20,2;9,2;null;
2024-01-31;21;218,6;905,2;19;8,3;3,4;
2024-02-29;10;84,6;906,5;21;8,5;null;
2024-03-31;14;113,2;906,5;19,5;8,8;null;
2024-04-30;21;228,2;906,5;18;9,5;3,4;
2024-05-31;24;481,2;906,6;13,4;13,3;3,6;
