Nome: CRUZ ALTA
Codigo Estacao: A853
Latitude: -28.60344
Longitude: -53.673597
Altitude: 426.69
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;17;258,2;962,1;23,2;10;3;
2010-02-28;8;109,2;962,5;24;10,3;2,8;
2010-03-31;10;55,4;963,4;22,1;15,4;3;
2010-04-30;10;186,2;967,2;18,9;11,4;3,2;
2010-05-31;14;147;967,6;14,9;10,7;3,4;
2010-06-30;12;117,4;968,9;14,2;10,4;3,1;
2010-07-31;13;192,4;969;13,1;9,9;3;
2010-08-31;10;48,6;969,3;13,3;11,4;3,6;
2010-09-30;14;288,6;965,5;15,9;13,7;3,6;
2010-10-31;10;89,6;965,1;17,2;12,4;3,3;
2010-11-30;6;84,4;962;20,5;11,8;2,8;
2010-12-31;10;170,2;959,9;22,8;11;3,2;
2011-01-31;17;69,2;960,4;24;8,7;2,4;
2011-02-28;16;322;962,5;22,7;8,5;3;
2011-03-31;10;211;964,1;21,3;8,3;3,3;
2011-04-30;12;234,6;965,4;19,5;9,5;2,4;
2011-05-31;12;103,2;968,6;15,3;10,5;3,2;
2011-06-30;15;165,2;967,2;12,4;9,1;2,4;
2011-07-31;16;212,4;967,4;12,6;11,1;2,9;
2011-08-31;17;202,8;966,3;13,7;12,8;3,7;
2011-09-30;7;49,4;968,1;16;9,2;3,5;
2011-10-31;14;196;963,4;18,8;10,8;3,5;
2011-11-30;6;77,8;963,4;21,5;12,9;3,7;
2011-12-31;10;29,6;961,6;22,3;13,2;3,5;
2012-01-31;9;47,4;962,1;24,1;9,9;3,7;
2012-02-29;null;null;null;null;null;null;
2012-03-31;3;null;null;19,6;7,8;null;
2012-04-30;11;55,4;965,2;18,7;8,5;2,9;
2012-05-31;5;20;968,4;17;8,2;2,6;
2012-06-30;12;60,4;967,8;13,7;8,2;2,3;
2012-07-31;14;185,4;968,3;12;10,3;2,8;
2012-08-31;10;66;969,6;17,4;10,3;3,3;
2012-09-30;13;197,6;967;16,6;13;4;
2012-10-31;16;294,4;963,2;19,1;14,8;3,7;
2012-11-30;6;86;962,7;22,7;10,5;3,9;
2012-12-31;16;378,6;960,5;23,7;11,5;3,1;
2013-01-31;6;95;963,7;22;12,2;3,5;
2013-02-28;15;127;962,8;22;10,8;2,7;
2013-03-31;14;203,6;964,9;19,2;16;3,2;
2013-04-30;10;124,4;966,4;18,9;9;2,3;
2013-05-31;14;122,2;966,6;15,3;9,6;2,1;
2013-06-30;19;70,4;967,3;13,8;9,7;2;
2013-07-31;10;72,8;969,8;12,6;9,5;,9;
2013-08-31;15;183;968,7;11,8;10,2;1,5;
2013-09-30;15;126,2;966,7;15,3;11,3;,7;
2013-10-31;11;130,2;965,3;18,3;8,7;1,1;
2013-11-30;11;129,2;962,5;21,9;9,7;2,3;
2013-12-31;8;127,8;960,8;24,2;12,4;1,4;
2014-01-31;13;215,8;963,3;23,7;11,6;,8;
2014-02-28;12;164,6;963,5;23,5;10,1;1,4;
2014-03-31;13;139,2;964,1;20,6;8;,6;
2014-04-30;11;135,2;966,5;19,3;11,5;1,5;
2014-05-31;20;239,2;967,2;15;11,2;,8;
2014-06-30;21;361;967,1;13,6;13,7;2,3;
2014-07-31;14;166,8;970;13,8;8,3;1,4;
2014-08-31;14;81,4;968,3;15;9,4;1,1;
2014-09-30;15;319,4;964,7;17;12,4;2,3;
2014-10-31;14;246,2;965,1;20,3;14,5;2,2;
2014-11-30;13;76;963;22;9,5;1,5;
2014-12-31;15;156,2;962,3;22,5;13,7;1,6;
2015-01-31;14;177,4;964,1;22,6;9,6;1;
2015-02-28;12;154,6;963,3;22,3;12,1;,9;
2015-03-31;10;105,4;964,7;21,8;8,3;1;
2015-04-30;9;204,8;966,4;19,3;10,6;1,3;
2015-05-31;13;195;967,9;16,2;11,7;1,1;
2015-06-30;11;270,6;969,2;14,3;10;1,2;
2015-07-31;22;245,8;967,7;13,6;10,1;1,2;
2015-08-31;9;99,8;966;17,9;9,5;,7;
2015-09-30;16;141;964;16,2;10,4;1,5;
2015-10-31;15;194,4;964,4;18,5;11,4;2,3;
2015-11-30;12;163,6;962,2;20;9,3;2,3;
2015-12-31;20;511,2;962,1;21,9;12,7;1,5;
2016-01-31;10;194,4;962,2;24;8,2;1,3;
2016-02-29;13;108;963,2;23,4;12,1;,5;
2016-03-31;15;195;965,6;20,2;10,5;1,2;
2016-04-30;16;133,6;965;20,7;9,7;,9;
2016-05-31;13;50,2;969,1;13,6;8;,9;
2016-06-30;8;7;971,6;10,4;9,5;,9;
2016-07-31;14;130,2;968,2;13;9,9;1;
2016-08-31;13;110,6;967,3;14,6;10,8;1,1;
2016-09-30;9;57,2;968,5;14,6;11,1;1,3;
2016-10-31;12;317,6;964,3;18,1;14,5;1,6;
2016-11-30;11;199;964;20,2;15,2;1,4;
2016-12-31;12;87,6;962,1;22,6;10,3;,9;
2017-01-31;16;274,8;963,1;22,6;10;,5;
2017-02-28;14;133;962,8;22,7;7,5;,2;
2017-03-31;12;182,4;964,9;21,4;13;,7;
2017-04-30;14;253,2;966,4;18,1;11,9;1,3;
2017-05-31;20;404,6;966,3;16,4;14,5;2,9;
2017-06-30;13;143;968,2;14,2;9,3;2,8;
2017-07-31;2;10,2;972,5;14,8;8,1;2,7;
2017-08-31;10;118,2;967;15,4;13,6;3,8;
2017-09-30;12;102,6;967,2;19,3;9,2;3,6;
2017-10-31;15;174,6;963,2;18,5;19,1;3,6;
2017-11-30;12;196;962,5;20;10,6;3,7;
2017-12-31;9;102,8;961,5;23,1;11,3;3,3;
2018-01-31;16;361,2;962,4;22,1;9,2;3;
2018-02-28;11;81,4;963,6;21,4;11,1;2,7;
2018-03-31;18;240,6;963;21;9,6;2,7;
2018-04-30;11;null;967,2;21,3;11,7;2,6;
2018-05-31;10;98;968,2;16,3;9,3;2,7;
2018-06-30;18;86,8;969,2;11,7;11,3;2,8;
2018-07-31;17;72,2;968,8;12,9;8,4;3,1;
2018-08-31;14;76,6;969,5;11,8;10,3;3,5;
2018-09-30;14;189;964,9;17,1;16,7;3,4;
2018-10-31;11;178,6;964,3;18,5;9,2;4,3;
2018-11-30;10;258,8;963,1;21,7;11,4;4,1;
2018-12-31;11;76,4;963,4;22,2;12,7;3,4;
2019-01-31;16;266,2;963,7;23,7;9,4;3;
2019-02-28;11;113;963,6;21,5;9,3;3,2;
2019-03-31;10;111,8;965,8;20,4;7,8;3,1;
2019-04-30;9;110,4;965,2;20,1;9,2;2,9;
2019-05-31;21;305,4;966,1;16,8;8,6;3,4;
2019-06-30;7;35,2;968,4;16,3;9,7;3,1;
2019-07-31;13;156,2;969,4;12;8;3;
2019-08-31;7;72,6;970,7;13,2;10,5;3,8;
2019-09-30;2;null;null;null;null;null;
2019-10-31;3;null;null;null;null;null;
2019-11-30;null;null;null;null;null;null;
2019-12-31;8;23,4;962,4;23,8;11,7;2,9;
2020-01-31;11;157,2;962;23,4;10,4;3,3;
2020-02-29;9;34;964,2;22,2;7,8;3,1;
2020-03-31;3;19,6;965,1;23,8;8,1;3;
2020-04-30;6;38,2;967,6;18,4;10,1;3;
2020-05-31;11;200,6;967,6;15;11;2,6;
2020-06-30;14;256,4;966,3;15;11,1;3,4;
2020-07-31;16;299,8;967,6;12,4;12,1;3,1;
2020-08-31;8;107,6;968,2;15,1;10,4;3,4;
2020-09-30;15;83,6;965,9;16,8;10;3,8;
2020-10-31;8;37,8;964;20;11,6;4;
2020-11-30;7;52;964,4;21,4;14,9;4,2;
2020-12-31;12;121,6;962,2;22,9;10,9;3,4;
2021-01-31;14;null;962,1;22,5;11,4;3,1;
2021-02-28;7;65,2;963,2;21,3;7,9;2,6;
2021-03-31;9;104;963,9;21,1;9,8;2,6;
2021-04-30;6;46,4;967,3;19;8,9;3,3;
2021-05-31;9;215,4;967,8;14;8,7;2,8;
2021-06-30;10;138,6;969;12,7;15,1;3,3;
2021-07-31;3;14;970,7;12,5;11,5;2,7;
2021-08-31;5;164,2;968,4;15,6;11,9;3,6;
2021-09-30;13;161,6;965,4;17;10,3;3,7;
2021-10-31;14;239;964,8;18,5;10,4;3,6;
2021-11-30;4;26,6;962,6;22;9,3;3,9;
2021-12-31;6;57;961,9;23,8;11,3;4,1;
2022-01-31;10;60;961,5;25,8;14;3,6;
2022-02-28;5;50,4;962,5;24;11,3;3;
2022-03-31;13;220,6;964;20,7;12,9;3,3;
2022-04-30;14;195,6;965,5;18,1;11,9;3,3;
2022-05-31;21;217,8;967,7;13,5;11,6;3,1;
2022-06-30;16;195,2;968;11,9;11,3;3,1;
2022-07-31;14;110,6;966;16,7;9,6;3,1;
2022-08-31;12;88,6;968,7;13,6;10,6;3,8;
2022-09-30;13;55,8;967,4;14,2;12,4;3,9;
2022-10-31;13;109;964,7;17,1;15,4;3,5;
2022-11-30;8;54,6;965,8;20,1;9;4,2;
2022-12-31;7;68,2;961,5;23,8;8,9;3,5;
2023-01-31;10;62,8;962,2;24,7;11,6;3;
2023-02-28;8;null;963,5;22,8;9,3;2,8;
2023-03-31;10;133,4;964,4;23,3;12,1;2,8;
2023-04-30;12;27,8;965,5;18,6;11,8;3,1;
2023-05-31;10;null;968,6;16,2;8,5;2,1;
2023-06-30;11;117,2;969,2;14,7;10,1;2,7;
2023-07-31;12;143;968,6;14,3;9,9;3,3;
2023-08-31;7;46,2;966,3;16;11,5;3,2;
2023-09-30;16;449,2;963,6;18;11,8;4;
2023-10-31;15;364;963,1;18;13,3;3,8;
2023-11-30;11;null;961,8;21,1;10,7;3,8;
2023-12-31;15;268,6;962,6;23,1;10,6;3,4;
2024-01-31;9;95;963,2;22,6;11,7;3,5;
2024-02-29;10;null;963,9;24,1;13,4;2,9;
2024-03-31;15;161,4;964,4;22,2;13,7;2,8;
2024-04-30;13;261,8;964,2;21;9,6;3,3;
2024-05-31;19;425,6;966,1;15,1;9,7;3,4;
2024-06-30;10;263;966,3;16,8;11,1;3,2;
2024-07-31;12;37,8;971,2;12,9;9,8;3,2;
2024-08-31;9;84,2;968,2;14,7;10,1;3;
2024-09-30;10;135,8;964,7;18,2;13,4;3,2;
2024-10-31;12;169,6;964,3;19,6;9,5;3,6;
2024-11-30;7;39;962,6;22,7;11,5;3,8;
2024-12-31;null;0;961,9;21,1;9,6;3,3;

