Nome: PORTO ALEGRE - JARDIM BOTANICO
Codigo Estacao: A801
Latitude: -30.05351111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;17;181,2;1005,6;24,8;4,7;1,6;
2010-02-28;12;115,2;1005,7;26,3;5,4;1,5;
2010-03-31;18;106,8;1007,1;23,4;4,3;1,5;
2010-04-30;14;74,4;1011,4;20,1;5,5;1,2;
2010-05-31;25;124,8;1012;17,2;5,2;1,5;
2010-06-30;14;206;1014,2;15;4,4;1,2;
2010-07-31;15;172;1014;14,5;7,4;1,3;
2010-08-31;12;97,2;1014,5;14,7;6,2;1,3;
2010-09-30;16;183;1010,5;17,2;7,4;1,8;
2010-10-31;10;58;1009,8;18;6,4;1,5;
2010-11-30;10;71,4;1006,1;20,7;6,1;1,7;
2010-12-31;12;91,4;1004,2;23,3;5,5;1,9;
2011-01-31;15;131,6;1003,8;25,6;5,1;1,6;
2011-02-28;17;120,8;1006,3;24,6;4,6;1,6;
2011-03-31;9;79;1008,9;22,9;5,1;1,7;
2011-04-30;16;174,4;1009,5;20,2;7,6;1;
2011-05-31;15;49,4;1013,2;16,5;4,3;1,1;
2011-06-30;14;110,4;1011,8;13,6;6,5;1,2;
2011-07-31;21;231,2;1012,8;13;4,9;1,3;
2011-08-31;19;147,8;1011,4;14,4;7,3;1,8;
2011-09-30;9;52,8;1013,7;16,3;5,9;1,5;
2011-10-31;12;124,4;1007,9;19,5;5,1;1,6;
2011-11-30;4;14,8;1008,4;21,5;5,8;1,9;
2011-12-31;11;53;1005,7;22,5;5,1;1,7;
2012-01-31;10;165,8;1006,4;24,3;5;1,7;
2012-02-29;11;136,6;1005,2;26,2;5,6;1,4;
2012-03-31;9;120,2;1008,3;23,2;4,3;1,3;
2012-04-30;12;78;1009,3;19,6;5,8;1,2;
2012-05-31;6;36,2;1013;18,5;3,7;1;
2012-06-30;12;32,4;1012,4;14,7;4,7;,9;
2012-07-31;10;145,2;1013,4;13,2;5,4;1,2;
2012-08-31;13;92,4;1014,4;19,1;4,2;1,2;
2012-09-30;14;250,4;1012,1;17,8;6,4;1,8;
2012-10-31;12;121;1007,2;20,8;6,6;1,7;
2012-11-30;6;27,4;1007,3;22,9;5,7;1,7;
2012-12-31;11;193,8;1003,7;25,2;8,1;1,7;
2013-01-31;8;103;1007,8;23,8;5,1;1,8;
2013-02-28;10;null;1006,1;24,4;5,9;1,7;
2013-03-31;10;null;1010,3;21,3;5,5;1,5;
2013-04-30;9;106,8;1010,5;20,4;5,6;1,4;
2013-05-31;11;64,8;1010,9;16,6;4,3;1,1;
2013-06-30;18;103,6;1012,1;14,5;5,4;1,1;
2013-07-31;11;108,6;1014,8;13,6;4,5;1,1;
2013-08-31;21;248,8;1014;13,7;5,6;1,5;
2013-09-30;13;137;1011,3;17,5;5,8;1,5;
2013-10-31;11;131,6;1010,3;19,1;5,3;1,6;
2013-11-30;10;184;1007,1;22,3;4,8;1,8;
2013-12-31;9;75,8;1004,7;24,7;5,4;1,8;
2014-01-31;16;77;1006,3;26,5;5,6;1,4;
2014-02-28;15;151,2;1007;26,3;6;1,6;
2014-03-31;13;129,8;1008;23;5;1,4;
2014-04-30;8;87;1011,1;21;5,6;1,4;
2014-05-31;13;73,2;1011,8;16,8;5,5;1;
2014-06-30;23;238,4;1011,9;15,5;4,5;1,2;
2014-07-31;13;260,6;1015,2;15,5;4,6;1,2;
2014-08-31;16;132,4;1013;16,2;4,8;1,2;
2014-09-30;14;160,2;1009,7;18,5;4,7;1,4;
2014-10-31;14;190,8;1010,1;20,9;5,2;1,4;
2014-11-30;13;106,6;1007,3;22,9;4,8;1,3;
2014-12-31;15;178,8;1006;24,2;5,5;1,4;
2015-01-31;14;164,8;1007,3;25,4;4,4;1,4;
2015-02-28;14;99,4;1007,1;24,7;4,4;1,5;
2015-03-31;8;54;1008,7;23,8;4;1,5;
2015-04-30;12;76;1010,9;21;5,1;1,2;
2015-05-31;16;142,4;1012,6;18,3;5,3;1,2;
2015-06-30;16;171,8;1013,9;15,6;3,9;1;
2015-07-31;21;314;1012,6;15,6;4,5;1,1;
2015-08-31;12;111,6;1010,4;20,3;5,2;1,3;
2015-09-30;15;186,6;1008,9;17,1;4,5;1,4;
2015-10-31;15;310,4;1009,7;18,5;5,1;1,6;
2015-11-30;13;127;1007,1;20,7;5,7;1,9;
2015-12-31;14;100;1005,8;23,6;5,2;1,5;
2016-01-31;9;108,8;1006,3;25,7;5,2;1,7;
2016-02-29;9;null;1006;26,4;5,1;1,5;
2016-03-31;15;308,8;1009,5;22,7;5,8;1,7;
2016-04-30;13;217,2;1008,5;22,3;5,6;1,5;
2016-05-31;16;73,2;1014,3;15,1;4,6;1,2;
2016-06-30;6;null;1016,3;12,1;5;1,1;
2016-07-31;14;152,2;1012,8;14,4;6,2;1,4;
2016-08-31;13;104,8;1011,9;16,3;4;1,2;
2016-09-30;10;92,8;1013;16,3;6,6;1,7;
2016-10-31;11;196,4;1009,1;19,3;6,7;1,9;
2016-11-30;8;106,8;1008,3;20,9;5,7;1,5;
2016-12-31;11;124,2;1005,6;24,4;4,9;1,6;
2017-01-31;13;195,8;1006,5;25,4;4,1;1,6;
2017-02-28;14;48;1005,8;26,2;4,9;1,3;
2017-03-31;9;162,2;1009,3;23,3;4,3;1,5;
2017-04-30;9;113;1010,8;20,3;5,9;1,4;
2017-05-31;20;178,2;1011,3;18,4;5;1,3;
2017-06-30;14;198,6;1012,4;16,3;5,1;1,1;
2017-07-31;5;17;1017,3;17,4;4,3;1;
2017-08-31;15;104,4;1012;17,5;4,8;null;
2017-09-30;13;165,4;1012,1;20,3;4,9;1,4;
2017-10-31;14;290,8;1007,4;20;4,8;1,7;
2017-11-30;12;136;1006,9;20,7;6,7;1,8;
2017-12-31;10;153,2;1005,6;23,9;5,5;1,9;
2018-01-31;14;149,8;1006;24,6;5;1,8;
2018-02-28;7;110,4;1007,6;23,8;5;1,7;
2018-03-31;13;98,8;1006,6;23;4;1,5;
2018-04-30;11;106,4;1011;23,1;4,6;1,2;
2018-05-31;10;91,8;1012,7;18;5,1;1,4;
2018-06-30;16;145,4;1013,8;13,3;6,7;1,3;
2018-07-31;16;167,6;1013,7;14,5;6,3;1,6;
2018-08-31;12;125,4;1014,4;14,1;5,8;1,7;
2018-09-30;15;168,8;1009,9;19,1;5,9;1,9;
2018-10-31;10;91,6;1009,4;20;6,1;1,9;
2018-11-30;12;126,6;1007,6;22,6;5,1;1,9;
2018-12-31;11;64;1006,9;24,1;5,1;1,8;
2019-01-31;14;101,6;1006,9;26,7;6,7;1,8;
2019-02-28;12;111,8;1007,2;24,6;4,4;1,7;
2019-03-31;12;80,2;1009,7;23;5,6;1,6;
2019-04-30;11;238;1009,1;21,8;4,6;1,4;
2019-05-31;22;247,4;1010,7;19,1;5,4;1,3;
2019-06-30;10;46,8;1012,5;18,5;5;1,2;
2019-07-31;14;158,4;1014,1;13,7;5,3;1,3;
2019-08-31;6;78,4;1015,8;15,6;4,6;1,4;
2019-09-30;10;91,8;1011,8;16,9;4,4;1,5;
2019-10-31;17;277;1009,1;20,6;5,2;1,6;
2019-11-30;14;91,2;1007,2;22,2;4,4;1,6;
2019-12-31;4;19,2;1005,8;24,9;5;1,7;
2020-01-31;16;79;1005,5;25,3;5,4;1,8;
2020-02-29;8;86,6;1007,9;24,8;4;1,6;
2020-03-31;6;23,4;1009,3;24,5;3,9;1,5;
2020-04-30;8;30,8;1011,2;20,4;4,6;1,5;
2020-05-31;8;130,8;1011,1;16,8;4,9;1,3;
2020-06-30;12;204,6;1010,8;16,4;3,9;1,3;
2020-07-31;16;294;1012,3;13,7;5,7;1,4;
2020-08-31;11;78,2;1013,3;16,1;4,5;1,2;
2020-09-30;19;222,8;1011,3;16,9;4,5;1,7;
2020-10-31;13;104,6;1009,1;19,4;4,4;1,7;
2020-11-30;8;52,4;1009,3;21,7;3,9;1,7;
2020-12-31;10;119;1006,1;23,9;4,6;1,7;
2021-01-31;11;null;1005,4;25,3;5,1;1,6;
2021-02-28;7;30,2;1006,2;24,6;4,7;1,6;
2021-03-31;16;79,2;1007,2;23,7;4,9;1,4;
2021-04-30;7;27;1011,7;21,8;3,8;1,4;
2021-05-31;10;164,8;1012,1;15,5;4,8;1,3;
2021-06-30;13;172,2;1013,7;14,4;4,6;1,4;
2021-07-31;13;47,6;1015,1;13,6;4,9;1,2;
2021-08-31;12;135;1013,8;16,5;4,3;1,4;
2021-09-30;15;195,8;1010,3;18,2;4,7;1,6;
