Nome: SANTA MARIA
Codigo Estacao: A803
Latitude: -29.72499999
Longitude: -53.72055554
Altitude: 103.1
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;15;431,6;999,2;24,2;6,9;2,3;
2010-02-28;14;134,8;999,3;25,5;10,2;2,4;
2010-03-31;9;27,8;1000,9;23,3;7,4;2,1;
2010-04-30;18;116;1005,2;19;7;1,9;
2010-05-31;20;128,4;1006,1;15,6;5,6;1,8;
2010-06-30;22;145,4;1007,5;14,1;10,1;2;
2010-07-31;21;264,6;1007,5;13,3;11,7;2,3;
2010-08-31;14;115;1008,1;13,8;10,6;2,5;
2010-09-30;12;236;1003,9;16,5;9,3;2,6;
2010-10-31;10;55,2;1003,5;17,7;6,4;2,2;
2010-11-30;7;78,6;1000,1;20,3;6,4;2,2;
2010-12-31;9;167,6;997,4;23,3;6,3;2,7;
2011-01-31;9;130,6;997,4;25,4;6,5;2,3;
2011-02-28;16;183,8;1000;24;6,6;2,4;
2011-03-31;8;59,8;1002,1;22,2;6,4;2,4;
2011-04-30;20;182,6;1003,2;19,2;6,3;1,7;
2011-05-31;25;79,4;1007,1;15,3;7,4;1,8;
2011-06-30;16;null;1005;14,2;9,6;2;
2011-07-31;null;null;null;null;null;null;
2011-08-31;14;null;null;15,3;13,5;null;
2011-09-30;10;69;1006,7;16,5;8,5;2,5;
2011-10-31;12;201,4;1001,5;19;8,7;2,3;
2011-11-30;3;46,2;1001,2;22,1;7,1;2,8;
2011-12-31;6;13,8;999,1;23;7,4;2,7;
2012-01-31;7;70,2;999,5;25,3;7,8;2,8;
2012-02-29;12;146;998,9;25,9;6,4;2;
2012-03-31;9;155,2;1002,1;22,6;5,2;1,7;
2012-04-30;15;119,2;1003,2;18,5;7,2;1,6;
2012-05-31;17;149;1006,3;17,5;5,3;1,7;
2012-06-30;12;null;null;13,9;7,3;null;
2012-07-31;5;null;null;null;6,6;null;
2012-08-31;10;80,2;1007,2;19,5;12,2;2,6;
2012-09-30;11;192,2;1005,2;17,5;8,6;2,4;
2012-10-31;15;278,2;1000,7;20,4;10,4;2,2;
2012-11-30;6;78,8;1000,5;23,3;7,3;2,3;
2012-12-31;16;313,2;997,3;24,7;9,7;2,2;
2013-01-31;8;151,8;1001,2;23,4;5,5;2,1;
2013-02-28;13;102,2;999,9;23,5;7,2;1,9;
2013-03-31;15;203,6;1002,7;20,6;6,7;1,8;
2013-04-30;17;186,4;1004;19,2;5,7;1,5;
2013-05-31;23;83,6;1004,6;15,4;10,1;null;
2013-06-30;23;92,8;1005,8;13,5;5,4;1,6;
2013-07-31;21;126,4;1008,1;13,5;8;1,8;
2013-08-31;21;178;1007,6;13,2;9,6;2,1;
2013-09-30;12;76,8;1004,7;17,4;7,7;2,2;
2013-10-31;13;115,4;1003,4;19,3;7,7;2,2;
2013-11-30;13;305,6;1000;22,5;7,3;2,4;
2013-12-31;11;97,6;997,8;25,2;7;2,1;
2014-01-31;18;139,8;999,7;25,9;6,5;2;
2014-02-28;13;123,2;1000,4;25,2;8,8;2,1;
2014-03-31;19;241,8;1001,5;21,8;7,7;1,7;
2014-04-30;15;115,4;1004,4;19,9;5,6;1,9;
2014-05-31;24;190,8;1005,4;15,6;5,7;1,4;
2014-06-30;23;308,4;1005,6;13,9;11;2,1;
2014-07-31;19;280,4;1008,2;15,1;8,9;2,1;
2014-08-31;22;104;1006,3;15,9;8,8;2,1;
2014-09-30;14;null;1003,1;18;11,6;null;
2014-10-31;5;null;null;22,4;8,1;null;
2014-11-30;7;null;null;22,7;5,7;null;
2014-12-31;15;344,2;999,5;23,2;9;2,1;
2015-01-31;20;190,2;1000,9;24,2;9,4;1,8;
2015-02-28;8;90,8;1000,5;23,7;5,2;1,9;
2015-03-31;8;142,4;1002,2;22,5;5,5;1,7;
2015-04-30;20;131,2;1004,4;19,3;5,3;1,5;
2015-05-31;18;123;1006,1;16,8;8,1;1,7;
2015-06-30;18;146,8;1007,1;15,1;null;null;
2015-07-31;24;236;1006,1;14,8;9,2;1,8;
2015-08-31;15;94;1003,2;20;11,9;2,6;
2015-09-30;14;185,2;1002,3;16,5;9,8;2,1;
2015-10-31;17;459,4;1002,8;18,2;8,1;2,5;
2015-11-30;15;182,8;1000,3;20,3;7,4;2,5;
2015-12-31;14;366;999,1;22,9;7,9;2,1;
2016-01-31;9;115;999,5;24,9;6;2,1;
2016-02-29;11;106,6;999,9;24,8;5;1,8;
2016-03-31;23;227,8;1003,3;20,9;8,7;1,9;
2016-04-30;22;155;1002,1;21,2;9,3;2;
2016-05-31;14;77,8;1008;13,7;9,4;1,6;
2016-06-30;18;9,4;1010,5;10,4;5,3;1,3;
2016-07-31;19;107,8;1006,4;13,4;9,7;1,9;
2016-08-31;15;138,2;1005,4;15,2;8,4;1,8;
2016-09-30;13;60,6;1006,9;14,9;11,1;2;
2016-10-31;11;400;1002,3;18,4;9,4;2,3;
2016-11-30;10;176,2;1001,8;20,1;7,4;2;
2016-12-31;15;148,4;999;23,3;7,4;2,1;
2017-01-31;18;229,2;999,9;23,9;11,9;1,9;
2017-02-28;19;234,6;999,4;24;7,7;1,7;
2017-03-31;14;232,4;1002,6;21,8;6,8;2;
2017-04-30;15;123,6;1004;18,6;11,8;1,9;
2017-05-31;25;318,6;1004,4;16,8;12,7;1,9;
