Nome: SANTO AUGUSTO
Codigo Estacao: A805
Latitude: -27.85444444
Longitude: -53.7911111
Altitude: 489.67
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;13;184,8;954;23,3;8;3;
2010-02-28;9;126,8;954,5;24,5;14,1;3,1;
2010-03-31;11;188,4;955,2;22,4;11,2;2,9;
2010-04-30;8;218,4;958,9;19,1;7,8;3,1;
2010-05-31;15;186,8;959,2;14,7;7,5;3,1;
2010-06-30;10;119,2;960,6;14,6;9,1;3,5;
2010-07-31;13;202;960,7;13,7;9,2;3,7;
2010-08-31;4;48,2;960,6;14,9;9,7;3,7;
2010-09-30;15;213,4;957,1;16,8;10,2;3,6;
2010-10-31;14;139,2;956,7;17,9;10,6;3,3;
2010-11-30;9;107;953,9;20,7;8,7;3;
2010-12-31;16;314,2;951,8;22,5;10,8;3,3;
2011-01-31;15;175,8;952,4;24;11,2;2,3;
2011-02-28;16;null;954,6;22,6;8,4;2,7;
2011-03-31;10;150;955,7;21,8;7,3;3,2;
2011-04-30;10;206,6;957,3;20;13,9;2,8;
2011-05-31;11;64,6;960,2;15,7;6,9;3,1;
2011-06-30;17;303,8;959;13;9,2;3,2;
2011-07-31;12;384;959;13,6;9;3,2;
2011-08-31;7;null;null;15,1;13,5;null;
2011-09-30;9;52,8;959,6;17,1;9,3;3,6;
2011-10-31;12;212,8;955,2;19,6;8,6;3,5;
2011-11-30;1;null;null;null;null;null;
2011-12-31;3;null;null;null;null;null;
2012-01-31;7;106,8;954;24,7;8,6;3,2;
2012-02-29;6;123,2;955,3;25,4;8,5;2,3;
2012-03-31;9;74,8;957,8;22,3;7,9;2;
2012-04-30;9;121,8;957,9;19,6;8,5;2,2;
2012-05-31;5;17,4;961,1;17,5;5,7;2;
2012-06-30;16;111,4;960,5;14,6;6,3;2,2;
2012-07-31;13;199,4;960,9;13,2;7,9;2,5;
2012-08-31;8;49,8;962,3;18,7;7,3;3;
2012-09-30;10;115,2;959,6;18,3;16,4;2,9;
2012-10-31;16;376,2;956;20,1;13,1;2,9;
2012-11-30;6;80,6;955,3;23,5;7,1;2,6;
2012-12-31;17;255,4;953,5;24,2;10,4;2,7;
2013-01-31;8;45;956,4;22,8;8,7;2,5;
2013-02-28;13;80,6;955,7;22,9;9,3;2,3;
2013-03-31;14;255,4;957,5;20;9,2;2,4;
2013-04-30;8;190;959,2;19,6;10,1;2,1;
2013-05-31;15;108,4;959,4;16,2;7,6;2,1;
2013-06-30;25;169,4;960;14,8;6,1;2,1;
2013-07-31;7;68,8;962,4;13,7;6,3;2,2;
2013-08-31;14;260,4;961,2;13,1;8,3;2,8;
2013-09-30;14;105,4;959,4;16,7;8,9;2,6;
2013-10-31;11;280,4;958;19,4;8,8;2,4;
2013-11-30;11;143;955,4;22,6;9,3;3,1;
2013-12-31;5;null;null;null;null;null;
2014-01-31;null;null;null;null;null;null;
2014-02-28;null;null;null;null;null;null;
2014-03-31;10;null;null;21,3;8,1;null;
2014-04-30;7;247,8;959,2;19,8;7,7;2,2;
2014-05-31;17;266,4;959,9;16,1;8;1,9;
2014-06-30;22;375;959,7;14,7;8,7;2,6;
2014-07-31;14;148,2;962,7;14,8;8,4;2,5;
2014-08-31;10;133;961,1;16,6;7,2;2,4;
2014-09-30;19;350,2;957,5;18,3;8;2,7;
2014-10-31;11;148,2;957,8;21,8;11,8;2,7;
2014-11-30;11;156,8;955,9;22,6;6,7;2,5;
2014-12-31;8;134,6;955,3;23;8,6;2,5;
2015-01-31;20;246,4;957,1;23,4;10;2,3;
2015-02-28;19;121,2;956,1;23,3;8,6;1,9;
2015-03-31;13;115,6;957,4;22,8;6,9;2;
2015-04-30;9;125,2;959,1;20,3;7,1;1,9;
2015-05-31;13;250,4;960,5;17,2;6,9;2,2;
2015-06-30;12;161;961,9;15,7;7,3;2,3;
2015-07-31;22;351,8;960,4;14,5;7,6;2,3;
2015-08-31;7;44,2;959;19,7;8;2,7;
2015-09-30;15;167,2;956,6;18,1;9,2;2,7;
2015-10-31;18;146;956,9;20,3;7,6;2,8;
2015-11-30;17;236,4;954,9;20,9;9;2,6;
2015-12-31;5;null;null;null;null;null;
2016-01-31;null;null;null;null;null;null;
2016-02-29;null;null;null;null;null;null;
2016-03-31;null;null;null;null;null;null;
2016-04-30;null;null;null;null;null;null;
2016-05-31;1;null;null;null;5,9;null;
2016-06-30;1;null;null;null;5,6;null;
2016-07-31;6;null;961,3;13,6;7,2;2,5;
2016-08-31;13;143;959,9;16,1;7,8;2,4;
2016-09-30;10;58,8;961,1;16,1;6,9;2,4;
2016-10-31;8;null;957,3;19,1;9,2;2,5;
2016-11-30;6;null;956,8;21,4;8,4;2,4;
2016-12-31;11;40;955,2;23,5;6,8;2,3;
2017-01-31;13;88,8;956,4;23,8;8,1;2,2;
2017-02-28;7;null;955,9;24,1;6,1;2;
2017-03-31;11;null;958,1;22,8;6,5;2;
2017-04-30;7;null;959,5;18,5;6,8;2,3;
2017-05-31;17;null;958,8;17,6;6,7;2,2;
2017-06-30;7;null;null;14,1;7,6;null;
2017-07-31;1;null;965,1;18,4;8,1;2,4;
2017-08-31;7;null;959,6;16,9;8,9;2,9;
2017-09-30;10;62,8;959,9;21,2;9,1;2,5;
2017-10-31;20;276,8;956,1;19,6;13,4;2,6;
