Nome: TORRES
Codigo Estacao: A808
Latitude: -29.35027777
Longitude: -49.73333333
Altitude: 8.44
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;23;171,4;1010,7;24,2;9;2,6;
2010-02-28;11;160,6;1010,7;25,6;9,4;2,8;
2010-03-31;18;174,8;1011,9;23,7;8,2;2,9;
2010-04-30;15;147;1016,2;20,8;9;3;
2010-05-31;21;284,6;1016,5;18,3;11,9;3,1;
2010-06-30;13;77,8;1019,3;15,8;8,9;2,8;
2010-07-31;17;94,2;1019,3;15;10,4;2,8;
2010-08-31;14;58;1020;14,3;7,5;3;
2010-09-30;14;131,6;1016;17,2;9,7;3,2;
2010-10-31;14;41,4;1014,7;17,9;11,7;3;
2010-11-30;13;150,4;1011,2;19,9;11,1;3,5;
2010-12-31;14;75,6;1009,6;22,3;9,3;3,3;
2011-01-31;17;326,8;1008,9;24,4;7;2,3;
2011-02-28;22;190,4;1011,1;24,4;9,2;2,7;
2011-03-31;14;125,2;1014,5;21,5;7,9;2,8;
2011-04-30;10;104,2;1014,5;20,4;8,2;2,3;
2011-05-31;14;63;1017,9;17,8;8,9;2,6;
2011-06-30;12;168,8;1016,5;14,4;9,3;2,6;
2011-07-31;15;274,8;1017,9;13,3;8,9;2,6;
2011-08-31;17;340;1016,7;14,8;10,4;3,2;
2011-09-30;11;100,2;1019,3;15,5;12,3;3,3;
2011-10-31;16;83;1013,3;18,7;10,9;3,5;
2011-11-30;6;33,8;1014,2;19,8;9;3,5;
2011-12-31;18;174,8;1011,1;21,2;11,1;3;
2012-01-31;15;237,8;1011,6;22,7;8,6;2,9;
2012-02-29;null;null;null;null;null;null;
2012-03-31;3;null;null;null;7,9;null;
2012-04-30;12;53,2;1014;20,3;9,9;2,8;
2012-05-31;14;21,6;1018,1;18,7;8,5;2,4;
2012-06-30;13;69,8;1017,2;14,9;8,9;2,2;
2012-07-31;11;131,2;1018,2;13,9;9,7;2,9;
2012-08-31;8;92,8;1020,3;17,2;9,4;3,2;
2012-09-30;17;201,6;1017,4;17,8;10,6;3,5;
2012-10-31;12;129;1012,6;19,9;12,3;3,3;
2012-11-30;8;35;1012,9;21,1;9,7;3,2;
2012-12-31;12;237,6;1009,1;23,3;9,9;3;
2013-01-31;12;151,2;1013;23,4;10,1;3,4;
2013-02-28;20;300,6;1011,4;23,8;10,5;2,7;
2013-03-31;16;246,6;1014,1;21,7;8,4;2,8;
2013-04-30;12;66,4;1015,3;20,4;7,8;2,8;
2013-05-31;13;29,6;1015,5;17,2;8;2,3;
2013-06-30;13;104,2;1016,9;15,6;10;2,2;
2013-07-31;15;61,8;1019,6;13,4;9;2,4;
2013-08-31;21;419,6;1018,5;13,7;9,1;3,1;
2013-09-30;19;150;1016,3;16,3;8;2,9;
2013-10-31;15;79,2;1015,6;18,8;9,5;3,5;
2013-11-30;12;148,6;1012,9;20,2;10;3,9;
2013-12-31;16;83,6;1010,2;22,4;9,5;2,9;
2014-01-31;22;180,8;1011,5;24,6;7,9;2,7;
2014-02-28;18;410,2;1012;24,9;11,9;3,2;
2014-03-31;22;268,8;1013,1;22,7;8,7;2,5;
2014-04-30;13;75,4;1016,1;21,2;7,8;2,8;
2014-05-31;15;99;1016,5;17,6;10,2;2,4;
2014-06-30;20;199,4;1016,9;15,9;7,4;2,3;
2014-07-31;14;95;1020,4;15,6;9,2;2,5;
2014-08-31;19;104;1018;15,6;10,8;2,7;
2014-09-30;19;127;1015,2;18;8,5;3,1;
2014-10-31;13;137,6;1015,6;19,9;10,8;3,6;
2014-11-30;12;76,2;1012,5;21,6;10,6;3,2;
2014-12-31;16;97,8;1011,1;23,2;8,6;3,2;
2015-01-31;20;189,4;1012,2;25,1;10,8;2,7;
2015-02-28;23;217,2;1011,9;24,2;9,3;2,6;
2015-03-31;20;130,6;1013,7;23;8,3;2,8;
2015-04-30;22;152,8;1015,8;21;8,9;2,6;
2015-05-31;2;null;null;null;null;null;
2015-06-30;4;null;null;null;null;null;
2015-07-31;23;264,4;1017,6;15,9;7,6;2,4;
2015-08-31;19;106,6;1016,2;18,8;8,7;2,9;
2015-09-30;20;257,8;1014;17,3;9,1;2,8;
