Nome: URUGUAIANA
Codigo Estacao: A809
Latitude: -29.83999999
Longitude: -57.08194443
Altitude: 74.29
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;10;168,6;1001,3;25,6;9,9;,7;
2010-02-28;14;303;1001;25,6;8,6;1,2;
2010-03-31;4;134,2;1003,3;24,1;9,6;1,1;
2010-04-30;7;31,8;1007,8;19,4;9,9;1,6;
2010-05-31;17;188,2;1008,7;15,6;13,3;1,7;
2010-06-30;6;5,6;1009,6;14,2;9,9;2,1;
2010-07-31;13;126,6;1009,7;12,8;8,6;2,2;
2010-08-31;4;8,2;1010;14;9,6;2,6;
2010-09-30;12;162;1006,1;16,8;14,4;2,5;
2010-10-31;7;46;1006,2;18,8;10,3;2,6;
2010-11-30;5;22,6;1003;22,1;8;2;
2010-12-31;8;94,2;999,3;25;9,8;2,4;
2011-01-31;14;119;999,6;26,6;8,6;1,6;
2011-02-28;9;76;1002,3;25;7,8;1,9;
2011-03-31;4;79,8;1004,1;23,1;8,4;2;
2011-04-30;7;58;1005,5;20,4;8,1;1,3;
2011-05-31;9;56,4;1009,4;16,3;8,7;2;
2011-06-30;12;57;1007,9;13,3;9,1;2;
2011-07-31;11;57,6;1008,7;12,5;9,9;2,1;
2011-08-31;8;97,2;1007,3;14,2;9,7;2,8;
2011-09-30;6;75;1008,6;17,4;11,2;3,1;
2011-10-31;11;179;1004,2;19,3;12,2;1,7;
2011-11-30;5;54,2;1003,3;23,4;9,5;2,5;
2011-12-31;5;173,6;1002;23,9;15,5;3,1;
2012-01-31;6;51,4;1001,8;26;8,1;3,2;
2012-02-29;8;99,4;1001,1;26,6;10,5;3,2;
2012-03-31;8;43;1004,8;23,3;9,5;2,7;
2012-04-30;7;143;1006,1;19,5;9,9;2,4;
2012-05-31;8;40;1008,3;18;8,4;2,9;
2012-06-30;8;39,2;1008,3;14,1;7,4;2,6;
2012-07-31;4;30,8;1010,1;11,5;8,2;2,8;
2012-08-31;11;137;1008,9;18;10,8;3,9;
2012-09-30;4;null;null;null;11,2;null;
2012-10-31;3;null;null;null;9,7;null;
2012-11-30;4;35,4;1003;24,3;8,3;3,4;
2012-12-31;14;309;999,5;24,8;11,3;3,7;
