Nome: SANTA ROSA
Codigo Estacao: A810
Latitude: -27.89055555
Longitude: -54.47999999
Altitude: 272.84
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;15;81,6;979,1;24,9;7;1,8;
2010-02-28;10;165,2;979,5;25,9;9,5;2;
2010-03-31;11;33,6;980,5;23,5;8,8;1,7;
2010-04-30;7;null;984,7;20;7;2;
2010-05-31;15;null;985,5;15,9;5,5;1,5;
2010-06-30;10;null;null;14,9;5,7;null;
2010-07-31;16;106;986,8;14,7;8,2;1,6;
2010-08-31;6;16,2;986,6;15,6;6,9;1,5;
2010-09-30;8;null;null;19,1;7,2;null;
2010-10-31;8;73,2;983,1;18,6;6,3;1,6;
2010-11-30;8;47,6;979,5;21,2;6;1,6;
2010-12-31;13;331,8;977;23,8;9,2;1,7;
2011-01-31;16;122,8;977,5;25;5,7;1;
2011-02-28;19;209,4;979,6;24,1;6;1,6;
2011-03-31;7;136,6;981,1;23,1;5,4;1,6;
2011-04-30;8;211;982,8;20,4;10,3;1,4;
2011-05-31;12;85,8;986,3;16,3;6,2;1,7;
2011-06-30;19;231;985;13,5;5,8;1,2;
2011-07-31;18;262,2;985,2;13,8;6,5;1,6;
2011-08-31;15;128;984,2;15,5;9,8;1,7;
2011-09-30;9;39,2;985,5;17,6;7;1,1;
2011-10-31;12;242,6;980,8;20,4;8,9;1,5;
2011-11-30;8;125,6;980,6;22,5;6,8;1,1;
2011-12-31;6;39,2;978,9;23,6;6,5;1,5;
2012-01-31;7;67,2;979;25,7;7,5;1,6;
2012-02-29;12;97,6;979,4;26,4;6,3;1,5;
2012-03-31;7;55,2;982,3;22,6;5,7;1,1;
2012-04-30;8;89,4;982,8;19,7;9,7;1,2;
2012-05-31;3;23,8;985,9;17,7;4;1,2;
2012-06-30;8;72,2;985,7;15,1;6;1,3;
2012-07-31;11;153,6;986,3;13,1;6,8;1,5;
2012-08-31;10;71,8;987;19,1;6,4;1,8;
2012-09-30;7;92;984,4;18,9;8,9;2;
2012-10-31;18;359,8;980,5;20,8;11,7;2,1;
2012-11-30;5;76,8;979,7;24,3;6,5;2;
2012-12-31;16;258,8;977,6;24,9;9,4;1,9;
2013-01-31;6;132,6;980,7;23,8;10,9;1,8;
2013-02-28;9;57,8;980;23,9;7,5;1,6;
2013-03-31;16;295,2;982,2;20,7;6,1;1,8;
2013-04-30;13;233,8;983,9;19,4;9,4;1,2;
2013-05-31;20;74;984,5;16,4;6,2;1,1;
2013-06-30;19;null;985,7;15,2;6,2;,7;
2013-07-31;13;49;987,7;14;7,3;1,3;
2013-08-31;15;152,8;986,6;13,3;6,8;1,6;
2013-09-30;13;104,8;984,4;null;6,9;1,6;
2013-10-31;10;146,2;982,2;20,4;8,1;2,1;
2013-11-30;9;67,2;979,7;23,6;8;2,5;
2013-12-31;9;null;null;24,2;8,6;null;
2014-01-31;4;null;null;null;6,8;null;
2014-02-28;14;232,8;980,5;25,4;7,6;1,9;
2014-03-31;17;204,6;981,5;21,9;6,3;1,4;
2014-04-30;11;243,4;983,8;20,6;6;1,6;
2014-05-31;15;null;984;18,5;7,1;1,3;
2014-06-30;5;null;null;null;6,3;null;
2014-07-31;17;150;987,7;15,3;6,7;1,6;
2014-08-31;15;85,2;986;16,9;5,9;1,6;
2014-09-30;20;424,4;982,1;19,1;10,1;2;
2014-10-31;12;157,2;982,2;22,7;9,9;2;
2014-11-30;9;94,8;980,3;23,6;5,5;1,8;
2014-12-31;14;261,6;979,5;24;7,2;1,9;
2015-01-31;19;377,6;981,3;24,4;9,3;1,6;
2015-02-28;12;94;980,3;24,5;7,2;1,5;
