Nome: ALEGRETE
Codigo Estacao: A826
Latitude: -29.70916666
Longitude: -55.52555554
Altitude: 120.88
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;13;391,4;996,6;24,6;8,5;2,2;
2010-02-28;2;null;null;null;6,7;null;
2010-03-31;1;null;null;null;7,1;null;
2010-04-30;null;null;null;null;5,9;null;
2010-05-31;15;100,2;1003,4;15,5;7,1;1,9;
2010-06-30;11;50,8;1004,4;14,1;7,3;1,9;
2010-07-31;14;246;1004,5;13;6,3;2;
2010-08-31;9;20,2;1004,7;14,1;8;2,5;
2010-09-30;13;320;1000,9;16,7;8,8;2,6;
2010-10-31;5;56,6;1000,8;18,2;8,5;2,4;
2010-11-30;4;23,6;997,5;21,2;6,9;2,3;
2010-12-31;6;95,8;994,3;24,6;7,3;2,7;
2011-01-31;13;90,6;994,6;26,4;5,7;2,2;
2011-02-28;13;234,8;997,1;24,4;6,5;2,5;
2011-03-31;5;141,2;999;22,9;6,4;2,5;
2011-04-30;12;139,2;1000,3;19,7;7,4;1,6;
2011-05-31;17;63,8;1004,2;15,8;6,2;1,8;
2011-06-30;15;90,2;1002,7;13,2;7,2;1,6;
2011-07-31;15;112,6;1003,4;12,3;7,6;2;
2011-08-31;13;136;1001,9;14,3;9,8;2,8;
2011-09-30;7;65,6;1003,6;16,9;9,7;2,6;
2011-10-31;10;189,6;998,8;19,1;10,4;2,3;
2011-11-30;4;67,4;998,3;22,6;7,4;2,7;
2011-12-31;6;124,4;996,7;22,9;7;2,5;
2012-01-31;5;7,4;996,7;25,8;5,9;2,4;
2012-02-29;12;66,6;996,2;26,4;5,4;1,8;
2012-03-31;3;43,4;999,6;23,3;6,6;1,6;
2012-04-30;12;120;1000,7;18,9;8;1,6;
2012-05-31;6;42,4;1003,4;17,8;6,9;1,5;
2012-06-30;10;60,2;1003,2;13,7;4,9;1,4;
2012-07-31;9;76,8;1004,6;11,4;6,8;1,8;
2012-08-31;10;69,4;1004,1;18,7;6,4;2,2;
2012-09-30;10;85,6;1002,1;17,8;6,8;2,5;
2012-10-31;5;null;null;null;null;null;
2012-11-30;4;42,4;997,8;23,8;6,9;2,7;
2012-12-31;16;373,4;994,6;24,5;7,6;2,4;
2013-01-31;6;124;998,5;23,8;8;2,5;
2013-02-28;9;213,8;997,3;23,7;7,5;2,2;
2013-03-31;14;184,6;1000,1;20,6;6;2,1;
2013-04-30;11;133,8;1001,4;19,2;8,9;1,8;
2013-05-31;17;194,6;1002;15,5;6,9;1,7;
2013-06-30;14;null;1002,8;13,3;6,8;1,8;
2013-07-31;15;147,4;1005,3;13,3;6,4;1,7;
2013-08-31;13;42,2;1005;12,6;7,1;2,2;
2013-09-30;9;33;1002;16,9;6,5;2,3;
2013-10-31;9;100,6;1000,5;19,6;7;2,6;
2013-11-30;4;null;null;null;null;null;
2013-12-31;3;null;null;null;null;null;
2014-01-31;12;211,2;997,1;26,1;9,3;2;
2014-02-28;11;139,6;997,7;25,2;8,1;2,3;
2014-03-31;9;233,8;999;21,3;5,3;1,8;
2014-04-30;12;42,6;1001,7;19,7;5,8;2;
2014-05-31;17;226,6;1002,7;15,5;5,4;1,6;
2014-06-30;22;119,2;1003,2;13,7;5,8;2,2;
2014-07-31;16;115,8;1005,1;14,6;5,6;1,8;
2014-08-31;3;20,8;1003,5;15,9;5,3;2;
2014-09-30;null;null;999,7;17,8;7,3;2,7;
2014-10-31;5;126,8;999,8;21,4;8,9;2,7;
2014-11-30;9;96,6;998,1;22,9;7,6;2,2;
2014-12-31;8;null;null;23,7;6,5;null;
2015-01-31;null;null;null;null;null;null;
2015-02-28;7;null;998;24,3;5,2;2;
2015-03-31;7;74,4;999,8;23;5,3;2;
2015-04-30;5;46,2;1001,9;20;5,7;1,8;
2015-05-31;12;142;1003,5;17;6,7;1,8;
2015-06-30;14;106,4;1004,4;14,9;7,2;1,7;
2015-07-31;16;169,6;1003,5;14,3;5,5;1,9;
2015-08-31;11;82;1000,2;19,1;6,3;2,3;
2015-09-30;7;85,2;999,7;16,9;7,6;2,5;
2015-10-31;15;386,2;1000,1;18,4;7;2,9;
2015-11-30;13;165,8;997,6;20,7;6,7;2,7;
2015-12-31;15;422,2;996,6;23,4;7,5;2,2;
2016-01-31;7;108,6;996,9;25,9;5,1;2,2;
2016-02-29;12;158,8;997,4;25,3;5,5;1,8;
2016-03-31;10;135;1001,1;21,3;6,4;2,1;
2016-04-30;20;235;999,5;20,8;6,3;2,2;
2016-05-31;9;101,6;1005,6;13,9;5,2;2;
2016-06-30;11;77,8;1008,1;10,8;5,9;1,5;
2016-07-31;14;86,6;1003,9;13,1;5,8;1,9;
2016-08-31;8;99,4;1002,9;15,7;7,7;2;
2016-09-30;7;29,8;1004,6;15,6;7,1;2,2;
2016-10-31;16;287,8;999,6;19,1;7,7;2,4;
2016-11-30;13;226;999,4;21,4;6,8;2,2;
2016-12-31;13;191,4;996,5;24,3;5;1,9;
2017-01-31;2;null;null;null;null;null;
2017-02-28;null;null;null;null;null;null;
2017-03-31;null;null;null;null;null;null;
2017-04-30;12;213,8;1001,4;19;4,9;1,9;
2017-05-31;18;268,4;1001,6;17,1;5,8;2;
2017-06-30;9;90,2;1003,2;14,9;6;1,8;
2017-07-31;null;null;null;null;null;null;
2017-08-31;10;null;null;16,9;7,4;null;
2017-09-30;11;null;1001,8;19,2;5,9;2,4;
2017-10-31;14;163,8;997,8;19,4;11;2,5;
2017-11-30;7;95,2;997,5;21;7,2;2,1;
2017-12-31;7;117,2;995,8;24,7;6,7;2,2;
2018-01-31;15;140;996,2;24,7;5,7;2;
2018-02-28;6;107,2;997,8;23,9;6,9;2;
2018-03-31;12;199,4;997,6;22,3;5,1;1,9;
2018-04-30;8;58,4;1001,3;22,8;5,7;1,6;
2018-05-31;13;154,6;1003;17,1;5,2;1,9;
2018-06-30;13;170,8;1004,8;11,5;4,4;1,5;
2018-07-31;11;51;1004,3;12,9;7,1;2,1;
2018-08-31;11;194,4;1005,1;12,9;6,2;2;
2018-09-30;16;209,2;999,7;19;8,3;2,5;
2018-10-31;8;200,4;999,5;19,8;7,1;2,7;
2018-11-30;6;179,2;997,6;22,9;7;2,2;
2018-12-31;12;150,4;997,6;23,8;6;1,9;
2019-01-31;17;507,6;997,3;25;6,7;2,1;
2019-02-28;6;62,8;998;24;5,4;1,9;
2019-03-31;11;120,6;1000,5;21,8;5,2;1,8;
2019-04-30;5;null;null;null;null;null;
2019-05-31;17;188,2;1001,3;17,9;5,5;1,9;
2019-06-30;6;11,8;1002,5;17,7;4,9;1,5;
2019-07-31;12;152;1004,7;13;4,3;1,6;
2019-08-31;7;43,4;1006,3;14,5;6,7;2,1;
2019-09-30;8;62,2;1002;16,5;6,6;2,3;
2019-10-31;16;237,8;999,1;20,3;9,6;2,6;
2019-11-30;13;156,6;997,2;22,9;6,2;2,4;
2019-12-31;7;40,6;996,8;24,3;6;1,7;
2020-01-31;10;77,6;996,2;25,2;6;2,1;
2020-02-29;7;83,2;998,5;24,1;6;1,9;
2020-03-31;3;33,8;999,4;25,1;5,5;1,9;
