Nome: SAO JOSE DOS AUSENTES
Codigo Estacao: A829
Latitude: -28.7486111
Longitude: -50.05777777
Altitude: 1228.59
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;24;222,8;877;17,6;13,7;5,8;
2010-02-28;19;212,2;877,9;18,9;12,4;5,7;
2010-03-31;26;179,8;877,5;16,5;13,4;5,5;
2010-04-30;18;180,6;880,3;13,7;13,4;5,7;
2010-05-31;26;262,6;879,2;11,1;14,6;6;
2010-06-30;15;94,8;881,2;9,8;13,2;5,9;
2010-07-31;15;168,8;881,1;10,2;15,5;6,8;
2010-08-31;11;66,8;881,1;10,2;16,6;6,4;
2010-09-30;15;145;878,6;11,8;17,6;6,8;
2010-10-31;23;132,8;877,3;11,5;16,8;5,5;
2010-11-30;21;121,4;875,3;13,9;16,4;5,6;
2010-12-31;20;62;874,8;15,9;14,5;6,3;
2011-01-31;25;258,2;875,5;18,1;11,7;5,2;
2011-02-28;24;260,8;877,3;17,7;13;5,8;
2011-03-31;18;184,8;878,9;15,3;14,7;6,2;
2011-04-30;25;123,8;878,9;14,3;14,9;5,1;
2011-05-31;23;112;880,3;10,5;13,2;5,8;
2011-06-30;19;177,4;878,4;8,6;15,8;5,9;
2011-07-31;18;206;879,3;9,7;14,3;6,1;
2011-08-31;22;238,4;878,3;9,7;17,4;7,7;
2011-09-30;13;85,2;880,9;10,9;13,6;6,1;
2011-10-31;17;116,8;876,8;13,5;12,5;6;
2011-11-30;17;46;877,7;13,7;11,7;6,1;
2011-12-31;23;105;875,7;14,9;12,1;5,8;
2012-01-31;20;204,6;876,9;16,4;12,2;5,8;
2012-02-29;21;143,4;877,6;18,8;12,3;5,4;
2012-03-31;22;33,2;878,7;16;13,2;5,3;
2012-04-30;17;43,6;878,1;13,6;12,2;5,2;
