Nome: SAO BORJA
Codigo Estacao: A830
Latitude: -28.65
Longitude: -56.01638888
Altitude: 81.08
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;13;319,4;1000,2;26;7,3;2,8;
2010-02-28;11;156,2;1000,1;26,6;8,4;3;
2010-03-31;5;55,8;1001,9;24,8;14,6;2,5;
2010-04-30;7;92,6;1006,4;20,4;8,2;2,8;
2010-05-31;14;136,6;1007,5;16,2;9,1;2,7;
2010-06-30;11;40,6;1008,4;15,6;7,4;2,8;
2010-07-31;13;214;1008,6;14,2;7,8;3,1;
2010-08-31;8;11,4;1008,9;15,5;10,2;3,4;
2010-09-30;12;282,2;1004,8;18;8,9;3,3;
2010-10-31;3;77,6;1004,7;19,7;10,3;3,2;
2010-11-30;5;31,8;1001,5;22,4;9,9;2,7;
2010-12-31;9;325;998,2;25,2;12,8;2,8;
2011-01-31;7;116,2;998,5;27,1;7,4;2,1;
2011-02-28;16;206,8;1001;25,1;6,7;2,7;
2011-03-31;5;102,8;1002,6;24,1;7,8;2,8;
2011-04-30;6;null;null;21,9;9,3;null;
2011-05-31;null;null;null;null;5,8;null;
2011-06-30;12;62,8;1007;14,2;10,6;2,9;
2011-07-31;12;44;1007,3;14;7,8;2,8;
2011-08-31;7;null;1006,5;15,8;9,8;3,2;
2011-09-30;9;73,4;1007,3;18,5;7,4;3,2;
2011-10-31;11;202,8;1002,7;20,6;10,9;3,1;
2011-11-30;7;54,8;1002;23,9;7,1;3;
2011-12-31;7;88,2;1000,5;24,4;9,3;2,7;
2012-01-31;6;58,4;1000,4;26,6;7,5;2,9;
2012-02-29;null;null;null;null;null;null;
2012-03-31;2;null;null;22;6,3;null;
2012-04-30;9;100,8;1004,7;20,3;13;2,2;
2012-05-31;5;39,4;1007,3;19,2;7,9;2,6;
2012-06-30;10;79,8;1007,5;15,3;8,5;2,4;
2012-07-31;6;44,8;1008,7;12,9;7,8;2,5;
