Nome: QUARAI
Codigo Estacao: A831
Latitude: -30.3686111
Longitude: -56.43722221
Altitude: 113.05
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;10;260;996,5;24,9;7,5;2,4;
2010-02-28;14;186,4;996,3;25;9,2;2,9;
2010-03-31;5;38,4;998,4;23,2;9,5;2,1;
2010-04-30;11;111,4;1002,9;18,3;14,8;2,3;
2010-05-31;19;103,4;1003,6;14,9;8,9;2,4;
2010-06-30;12;22,2;1004,6;13,3;9,6;2,7;
2010-07-31;15;231;1004,5;12,1;9,8;3;
2010-08-31;8;10;1005,4;13;9,7;3;
2010-09-30;14;155,8;1001,1;15,9;8,7;2,9;
2010-10-31;4;29,4;1001,2;17,5;12,3;2,4;
2010-11-30;5;31;997,9;21,1;9,4;2;
2010-12-31;6;30,8;994,5;25,3;10,3;2,5;
2011-01-31;11;90,2;994,7;26,7;13,6;1,4;
2011-02-28;11;183,6;997,5;24,4;8,1;1,3;
2011-03-31;5;42,8;999,3;22,5;9,2;1,1;
2011-04-30;7;96;1000,5;19,1;7,4;,9;
2011-05-31;14;110,6;1004,4;15,1;9;1,2;
2011-06-30;12;59,2;1002,7;12,6;11,1;1,5;
2011-07-31;13;63,8;1003,6;11,5;11,1;1,6;
2011-08-31;10;41,8;1002,1;13,4;10,1;2,9;
2011-09-30;7;90,2;1003,8;16,3;11,7;2,3;
2011-10-31;13;149,8;999,2;18,4;14,2;1,5;
2011-11-30;6;73,8;998,6;22,1;9,9;2,2;
2011-12-31;9;125,4;997,1;22,8;12;2,2;
2012-01-31;4;26,6;997;25,9;9,2;1,8;
2012-02-29;null;null;null;null;null;null;
2012-03-31;5;null;null;20,1;7,8;null;
2012-04-30;9;189,4;1001;18,2;8,5;1;
2012-05-31;11;22,4;1003,5;17;8,2;1,3;
2012-06-30;12;81,2;1003,2;13;9,3;1,6;
2012-07-31;6;23,8;1004,9;10,2;9,6;1,9;
2012-08-31;12;110,6;1004;17,6;8,7;2,9;
2012-09-30;16;92,2;1002,2;17,1;12,8;2,6;
2012-10-31;18;334,2;997,7;19,6;11,6;2,7;
2012-11-30;5;33,8;998,1;23,2;10;2;
2012-12-31;15;238,6;994,6;24,3;11;2,4;
2013-01-31;6;90,2;998,8;23,5;9,1;1,9;
2013-02-28;12;257,8;997,4;23,4;10,1;1,8;
2013-03-31;11;106,4;1000,3;20,3;8;1,7;
2013-04-30;17;105,4;1001,5;18,4;9,7;1,1;
2013-05-31;16;80,2;1002;14,8;9,7;1,3;
2013-06-30;18;39,4;1003,4;12,7;7,2;1;
2013-07-31;11;66,4;1005,2;12,9;9,4;1,9;
2013-08-31;11;41,8;1005,3;11,8;9,4;2,4;
2013-09-30;7;54,8;1002,1;16,3;9,6;2,9;
2013-10-31;10;89,4;1000,8;19;8,2;2,4;
2013-11-30;14;393,6;997,2;21,8;9,9;2,9;
2013-12-31;4;22;995,2;26;8,5;1,8;
2014-01-31;13;94,8;996,9;26,4;13;2,4;
2014-02-28;15;207,4;997,8;24,8;11;2,6;
2014-03-31;null;null;999,2;20,5;13;1,4;
2014-04-30;null;null;1001,9;18,7;9,7;1,6;
2014-05-31;2;null;1002,8;14,9;13,8;1,3;
2014-06-30;15;40,2;1003,6;12,9;10,6;3,4;
2014-07-31;null;null;1005;13,9;11,9;3,2;
2014-08-31;9;null;1003,5;15;10,8;3,3;
2014-09-30;14;176,2;999,9;16,9;11,8;3,9;
2014-10-31;13;208,6;999,7;20,6;11,7;3,6;
2014-11-30;7;76;998,2;21,8;9,7;3,1;
2014-12-31;12;339;997;23;9,2;3,1;
2015-01-31;13;265;998,4;24,1;17,7;2,9;
2015-02-28;8;97,4;998,1;24,1;6,4;2,5;
2015-03-31;9;53,2;1000;22,3;9,7;2,5;
2015-04-30;2;null;null;19,7;8,2;null;
2015-05-31;null;null;null;null;7,4;null;
2015-06-30;null;null;null;null;8,8;null;
2015-07-31;null;null;null;null;9,7;null;
2015-08-31;null;null;null;null;12,4;null;
2015-09-30;null;null;null;null;9,8;null;
2015-10-31;15;341,8;1000,5;17,4;11,7;3,7;
2015-11-30;14;138,8;997,9;20;9,9;3,5;
2015-12-31;14;478,6;996,5;23;9,8;3;
2016-01-31;7;118,4;997;25,7;11,3;2,7;
2016-02-29;9;95,6;997,2;25,4;10,4;2,5;
2016-03-31;10;157;1001,5;20,6;13,3;2,7;
2016-04-30;20;425,8;999,5;19,9;9;3,2;
2016-05-31;11;100,2;1005,9;12,9;9,1;2,4;
2016-06-30;13;114,4;1008,1;9,8;8,5;1,9;
2016-07-31;14;74,2;1003,8;12,2;9,3;2,9;
2016-08-31;7;94,6;1003;14,8;8,9;2,7;
2016-09-30;7;15,6;1004,8;14,4;11,8;3,2;
2016-10-31;11;165,4;999,8;18,4;15,4;3;
2016-11-30;9;106,4;999,5;20,9;11;2,6;
2016-12-31;14;151,4;996,3;24;8,1;2,5;
2017-01-31;9;116,2;997,2;24,6;10,9;1,3;
2017-02-28;14;192,2;996,7;24,3;8,3;1,7;
2017-03-31;10;111,8;1000;21,8;10,1;1,8;
2017-04-30;11;324;1001,4;18,3;9,9;2,3;
2017-05-31;21;193,8;1001,5;16,3;12,4;1,8;
2017-06-30;10;83,4;1003,1;14,6;9,6;2,2;
2017-07-31;6;71,4;1006,7;15,7;10,3;1,9;
2017-08-31;14;180,8;1001,9;15,7;10,4;3,2;
2017-09-30;2;null;null;null;null;null;
2017-10-31;11;131,4;998,3;18,6;11,2;3,9;
2017-11-30;6;68;998,1;20,3;9,3;3,1;
2017-12-31;8;64,6;996,3;25,1;10,6;3,2;
2018-01-31;15;98;996,6;25;8,5;3,1;
2018-02-28;5;72;998,4;24,4;13;2,9;
2018-03-31;9;150,2;998;22,1;10,9;2,8;
2018-04-30;14;81,8;1001,6;22,6;8,5;2,9;
2018-05-31;19;266,2;1003,2;16,4;9,2;3;
2018-06-30;19;47,2;1005,3;10,9;8,4;2,6;
2018-07-31;19;83,6;1004,9;12;9,3;3,4;
2018-08-31;18;103,8;1005,6;12,1;10,4;3,5;
2018-09-30;16;194,6;1000,1;18,4;12,4;3,7;
2018-10-31;4;null;null;null;9,4;null;
2018-11-30;2;null;null;null;8,3;null;
2018-12-31;11;174;998;23,2;11,1;3;
2019-01-31;19;572;997,6;24,5;9;3,3;
2019-02-28;10;138,6;998,6;23,5;8,9;2,5;
2019-03-31;10;52,4;1001,1;21,2;10,5;2,5;
2019-04-30;17;241,6;1000,7;19,4;11,9;2,3;
2019-05-31;25;146,4;1001,8;16,9;7,7;2,5;
2019-06-30;16;22,2;1002,5;16,7;10,3;2,9;
2019-07-31;15;118,6;1004,9;12,1;10;2,7;
2019-08-31;15;51;1006,6;13,4;9,8;3,3;
2019-09-30;8;18,4;1002,3;15,5;9,4;2,9;
2019-10-31;18;292,8;999,6;19,6;12,6;3,7;
2019-11-30;9;222,8;997,8;22,1;10,9;3;
2019-12-31;8;100,6;997,4;23;13;2;
2020-01-31;10;79,4;997,1;24,9;8,9;2,7;
2020-02-29;4;64;999;24,2;9,9;2,6;
2020-03-31;7;67,2;999,8;24,5;8,3;2,2;
2020-04-30;11;43,8;1003,3;18,5;9,7;2,4;
2020-05-31;16;251;1002,9;14,9;10,4;2,4;
2020-06-30;17;160,6;1001,1;14,3;9,5;2,9;
2020-07-31;11;16,2;1003,5;12,1;8,8;2,8;
2020-08-31;7;19,8;1003,5;15,9;9,4;2,7;
2020-09-30;13;116,6;1002;15,6;8,6;2,8;
2020-10-31;10;78,8;1000,1;19,1;9,7;3,4;
2020-11-30;5;53,4;1000,1;21,6;15,1;2,8;
2020-12-31;7;100,4;997,4;23,3;8,2;,9;
2021-01-31;8;120,4;996,5;24,3;10;,9;
2021-02-28;11;92,6;998,1;22,8;10,3;,3;
2021-03-31;8;null;998,9;22,4;7;,3;
2021-04-30;15;46,8;1002,5;19,9;7,7;,6;
2021-05-31;20;125,6;1003,7;13,3;12,5;,6;
2021-06-30;16;138,2;1005,3;11,6;11,5;1;
2021-07-31;14;27;1006,3;12,1;9,8;1;
2021-08-31;20;56,6;1004,1;14,7;9,4;1,7;
2021-09-30;18;171,8;1000,9;16,9;11,4;2,2;
2021-10-31;7;48,2;1000,8;18,4;11,8;1,6;
2021-11-30;10;100;998,1;21,8;9,6;1,9;
2021-12-31;2;28,4;997,5;24,7;8,1;1,7;
2022-01-31;6;89;995,7;27,8;12,9;1,5;
2022-02-28;5;null;997;25,2;10,5;,9;
2022-03-31;14;170,8;999,2;20,8;10;1,2;
2022-04-30;22;245,2;1000,7;18;10,3;1;
2022-05-31;21;71;1004,7;13,1;9,6;1,2;
2022-06-30;17;null;1004,6;10,4;7,6;1,1;
2022-07-31;12;null;1000,1;16,2;10,1;2,1;
2022-08-31;15;14,6;1005,6;13,3;9,7;3;
2022-09-30;9;59,2;1003,9;14,5;8,6;3;
2022-10-31;7;71,6;1001;17,5;10,2;3,5;
2022-11-30;5;52,8;1001,1;21,9;10,6;3,3;
2022-12-31;4;23,8;996,5;25,8;9,7;3,1;
2023-01-31;5;42,4;996,5;27,8;9,5;2,9;
2023-02-28;7;60,4;997,4;25,8;14,3;3,1;
2023-03-31;13;316;998,6;25,6;8,8;2,6;
2023-04-30;10;10;1001;18,7;10,3;2,6;
2023-05-31;23;109,2;1003,5;16,4;7,2;2,4;
2023-06-30;16;36,4;1004,7;15;6,4;2,5;
2023-07-31;15;84,4;1004,3;13,8;11,8;3,3;
2023-08-31;10;32,4;1001,6;15,5;9,3;3,2;
2023-09-30;22;266;999,1;16,8;9;3,8;
2023-10-31;14;100,2;998,9;18,2;9,2;3,2;
2023-11-30;15;151,4;996,3;21,4;9,4;3,3;
2023-12-31;12;299;997,1;23,5;9,7;3,4;
2024-01-31;12;57,6;998,3;23,7;15,7;2,7;
2024-02-29;9;105;998,4;26,6;10,4;2,8;
2024-03-31;18;342,6;999;23;10,1;2,6;
2024-04-30;21;434,6;999;20,2;12,9;null;
2024-05-31;20;83;1002,9;13,2;null;null;
2024-06-30;11;42,6;1000,8;16,2;null;null;
2024-07-31;14;6,2;1008,1;11,8;null;null;
2024-08-31;15;161;1003,7;13,8;null;null;
2024-09-30;15;155,4;999,8;17,5;null;null;
2024-10-31;16;123,8;1000;20;null;null;
2024-11-30;13;112;998;22;null;null;
2024-12-31;6;137,2;997,4;21,8;null;null;

