Nome: SANTIAGO
Codigo Estacao: A833
Latitude: -29.191599
Longitude: -54.885653
Altitude: 390.03
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;18;421,6;965,8;23,4;8,3;3,1;
2010-02-28;14;222,6;966;24,4;9,1;3,4;
2010-03-31;10;51;967,3;22,7;7,5;2,9;
2010-04-30;15;66,8;971,2;18,6;9;3;
2010-05-31;21;9,4;971,6;14,7;7,5;3;
2010-06-30;29;13,6;972,6;14;7,9;3,3;
2010-07-31;19;207,6;972,7;12,8;7,9;3,4;
2010-08-31;13;32,4;972,8;14;8,6;3,6;
2010-09-30;18;209,4;969,3;16,1;8,5;3,4;
2010-10-31;9;66,2;969,2;17,5;8,7;3,1;
2010-11-30;8;48,4;966,3;20,2;8,7;2,9;
2010-12-31;9;178,6;963,7;23,2;8,6;3,2;
2011-01-31;19;103;964,2;24,6;6,9;2,6;
2011-02-28;19;197,8;966,4;23,3;5,7;2,9;
2011-03-31;11;106;968;21,8;7,2;3;
2011-04-30;16;133,8;969,2;19,3;6,8;null;
2011-05-31;21;69,2;972,5;15,3;7,3;2,9;
2011-06-30;16;100;970,9;12,8;9,6;3,2;
2011-07-31;11;null;971,4;12,6;9,4;2,8;
2011-08-31;15;88;970,3;14,4;9,6;3,6;
2011-09-30;9;112,2;971,9;16,4;8,9;3,4;
2011-10-31;12;162;967,5;18,4;10,8;3;
2011-11-30;5;77;967,3;21,8;7,5;3;
2011-12-31;10;33,2;965,7;22,2;9;2,9;
2012-01-31;11;64;966;24,5;7,4;3;
2012-02-29;9;83,4;966;25,1;7,8;2,9;
2012-03-31;6;73;968,8;22,4;6,9;2,5;
2012-04-30;13;86,4;969,3;18,3;6,4;2,4;
2012-05-31;7;52,6;972,1;17,6;7,1;2,5;
2012-06-30;15;81,4;971,5;13,7;7,5;2,7;
2012-07-31;13;59,8;972,3;11,6;9,2;3;
2012-08-31;9;94;973;18;8,4;3,7;
2012-09-30;10;112,2;970,7;17,2;8,7;3,4;
2012-10-31;18;384,8;966,8;19;9,6;3,3;
2012-11-30;8;72,8;966,8;22,6;6,4;2,8;
2012-12-31;17;346;964,2;23,3;9,5;3,1;
2013-01-31;10;181,8;967,6;22,7;6,9;2,6;
2013-02-28;14;141,4;966,6;22,7;8,2;2,5;
2013-03-31;8;null;null;19,8;6,2;null;
2013-04-30;5;null;null;19,7;6,2;null;
2013-05-31;null;null;null;null;6,8;null;
2013-06-30;2;null;null;null;5,9;null;
2013-07-31;10;116,2;973,5;13;7,3;2,7;
2013-08-31;14;92,4;972,7;12,1;7,8;3;
2013-09-30;15;67,4;970,5;16,2;7,1;2,9;
2013-10-31;10;139,6;969,2;18,9;9,6;2,7;
2013-11-30;11;270,4;966,3;21,3;8,6;3;
2013-12-31;8;143;964,6;24,5;6,9;2,3;
2014-01-31;13;152,2;966,8;24,5;6,8;2,6;
2014-02-28;11;151,4;967,1;24,4;6,8;2,7;
2014-03-31;12;240,6;968;21;7,8;2,1;
2014-04-30;13;81,2;970,4;19,1;7;1,7;
2014-05-31;19;194,2;971;15,3;6,8;1,5;
2014-06-30;17;221,2;971,1;13,5;6,7;2,1;
2014-07-31;16;266;973,5;14,3;8,5;2,7;
2014-08-31;12;63,4;971,9;15,7;8,7;2,8;
2014-09-30;7;null;null;null;null;null;
2014-10-31;6;null;null;22,2;18,6;null;
2014-11-30;9;150,4;967;22;7,8;2,5;
2014-12-31;13;262,8;966,1;22,6;7,9;2,6;
2015-01-31;20;273,8;967,7;23,2;7,6;2,4;
2015-02-28;12;114;967,1;23,2;5,4;2;
2015-03-31;14;129;968,7;22,1;6,3;2,1;
2015-04-30;9;99,8;970,5;19,7;5,2;1,8;
2015-05-31;16;128,8;971,8;16,5;8,7;2,2;
2015-06-30;13;182,8;972,7;14,9;7,6;2,6;
2015-07-31;21;124,2;971,5;13,8;7,1;null;
2015-08-31;12;105,6;969,3;18,5;8,7;3,1;
2015-09-30;17;156,8;968;16,4;8,7;null;
2015-10-31;19;421;968,4;18;null;null;
2015-11-30;15;271,6;966,2;19,7;6,6;2,4;
2015-12-31;20;400,6;965,8;22,2;7,8;2,4;
2016-01-31;10;78,2;966,1;24,9;6,2;2,1;
2016-02-29;13;115;966,8;24,4;6,8;2;
2016-03-31;15;197,4;969,7;20,4;6,5;2;
2016-04-30;17;165,6;968,6;20,4;7,8;1,9;
2016-05-31;10;116,2;973,3;13,1;5,2;1,3;
2016-06-30;8;27,6;975,6;11;3,5;1;
2016-07-31;10;66,6;971,9;13,4;6,1;1,7;
2016-08-31;10;114,4;971,1;15,7;5,8;1,6;
2016-09-30;9;36,8;972,5;15,2;6,5;1,7;
2016-10-31;14;296,4;968,2;18,4;5,6;1,6;
2016-11-30;12;260,8;968,1;20,4;6,5;1,4;
2016-12-31;14;270,6;965,8;23,1;5,5;1,7;
2017-01-31;17;247;966,7;23,5;5,6;1,5;
2017-02-28;16;267;966,4;23,4;7,6;1,5;
