Nome: CAMAQUA
Codigo Estacao: A838
Latitude: -30.80805555
Longitude: -51.83416666
Altitude: 92.3
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;15;154;1000,8;23,6;5,8;1,4;
2010-02-28;16;133,4;1000,8;24,6;6,3;1,3;
2010-03-31;18;108,4;1002,3;22,1;5,1;1,3;
2010-04-30;22;110,2;1006,4;18,6;4,5;1,1;
2010-05-31;25;143,6;1007,1;16,3;4,5;1,4;
2010-06-30;19;154,2;1008,9;13,7;4,8;1;
2010-07-31;21;162,8;1008,6;13,1;4,6;1;
2010-08-31;23;97,4;1009,7;12,8;5,7;1;
2010-09-30;14;124,8;1005,9;15,9;7,2;1,5;
2010-10-31;13;47;1005;16,7;6,6;1,4;
2010-11-30;11;null;1001,8;19,2;5,8;1,7;
2010-12-31;15;61;999,5;22,3;6,3;1,7;
2011-01-31;14;null;998,7;24,3;6,1;1,1;
2011-02-28;11;null;null;22,8;5,2;null;
2011-03-31;null;null;null;null;3,9;null;
2011-04-30;20;105;1004,4;18,9;6;1;
2011-05-31;20;44,8;1008,1;15,1;5,1;1,1;
2011-06-30;19;110;1006,2;12,7;5,6;1,2;
2011-07-31;19;170,8;1007,7;11,7;5,7;1,2;
2011-08-31;22;151,6;1006,3;13,1;7;1,8;
2011-09-30;16;118,6;1008,8;14,4;6;1,6;
2011-10-31;17;161,2;1003,1;17,8;6,7;1,7;
2011-11-30;6;39,4;1003,8;19,9;6,3;1,8;
2011-12-31;12;62,6;1001,1;20,7;7,2;1,7;
2012-01-31;15;171;1001,9;22,4;6;1,8;
2012-02-29;null;null;null;null;null;null;
2012-03-31;null;null;null;null;null;null;
2012-04-30;4;null;null;null;4,9;null;
2012-05-31;17;58,8;1007,8;17,2;3,6;1;
2012-06-30;12;43,6;1006,9;13,2;3,9;1;
2012-07-31;12;158,6;1008,3;11;6,4;1,3;
2012-08-31;16;106,6;1009,2;17,3;5;1,4;
2012-09-30;17;312,8;1007;16,3;7,4;1,8;
