Nome: LAGOA VERMELHA
Codigo Estacao: A844
Latitude: -28.222381
Longitude: -51.512845
Altitude: 833.83
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;18;282,6;918,5;21,1;8,6;3,2;
2010-02-28;15;283,6;919,3;22,1;12,4;3;
2010-03-31;16;113,8;919,4;19,7;10,3;3;
2010-04-30;8;220;922,7;16,8;7,9;3,4;
2010-05-31;21;153;922,1;13,5;8,6;3,3;
2010-06-30;12;149,4;924,1;12,5;7,5;3,3;
2010-07-31;13;156,6;924,1;12,4;8,4;3,5;
2010-08-31;7;65;924,1;13;8;3,8;
2010-09-30;12;226,8;921,1;15;8,3;3,8;
2010-10-31;12;124,8;920;15,2;10,6;3,4;
2010-11-30;14;111,2;917,4;18,1;8,7;3,3;
2010-12-31;16;132,6;916,2;20,1;8,9;3,4;
2011-01-31;19;178,4;916,8;21,7;7,1;2,8;
2011-02-28;20;172;918,7;20,9;7,8;3,1;
2011-03-31;8;128,6;920,4;19,1;9;3,5;
2011-04-30;13;97,4;921,1;17,5;10;2,9;
2011-05-31;12;93;923,3;13,3;7,7;3,2;
2011-06-30;17;201,6;921,9;10,9;9,8;3,1;
2011-07-31;15;293;922,2;12,1;8,7;3,3;
2011-08-31;18;246,2;921,5;12,5;10,1;3,8;
2011-09-30;9;85,8;923,5;14,3;8,8;3,8;
2011-10-31;11;181,6;919;17,3;10,9;3,7;
2011-11-30;8;54,8;919,5;18,5;11,1;3,6;
2011-12-31;13;86,6;917,5;19,5;12,2;3,4;
2012-01-31;9;99,2;918,4;20,8;8;3,3;
2012-02-29;12;124,8;919,1;22,5;8,7;3;
2012-03-31;8;60,8;920,7;19,7;7,1;3;
2012-04-30;11;64,6;920,4;17,2;10,7;3;
2012-05-31;7;35;923,8;14,7;7,2;3;
2012-06-30;12;173,2;922,6;12,6;6,6;2,8;
2012-07-31;14;251,2;922,8;11,2;7,3;3,2;
2012-08-31;4;27;925,6;16,1;8,4;3,9;
2012-09-30;10;155,6;922,6;15,7;9,9;4;
2012-10-31;15;135;919,4;17,9;9,3;3,5;
2012-11-30;7;55,6;918,8;20,1;8,8;3,7;
2012-12-31;16;123,8;917,1;22,1;9,4;3,3;
2013-01-31;10;129,4;919,7;20,2;11,7;3,4;
2013-02-28;15;117,6;919;20,5;8,7;2,9;
2013-03-31;18;199,4;920,5;17,7;12,5;3,2;
2013-04-30;9;69,6;921,9;16,9;6,9;2,9;
2013-05-31;15;104;921,7;14,1;9,1;2,8;
2013-06-30;24;162,2;922,1;13;6,5;2,7;
2013-07-31;10;59,2;924,3;11,7;8,3;2,9;
2013-08-31;16;346;923;11,6;8,6;3,6;
2013-09-30;14;185,4;922;14,7;10,7;3,3;
