Nome: FREDERICO WESTPHALEN
Codigo Estacao: A854
Latitude: -27.39555555
Longitude: -53.42944443
Altitude: 489.42
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;16;195,6;955;23,9;8,3;1,9;
2010-02-28;13;131,4;955,6;24,9;8,7;2;
2010-03-31;13;170,2;956,2;22,4;6,5;1,8;
2010-04-30;7;275,2;959,9;19;7,9;1,9;
2010-05-31;18;205,2;960,2;15,2;7,1;1,8;
2010-06-30;12;93;961,8;15,2;6,4;1,6;
2010-07-31;15;197,4;961,9;14,3;6,4;1,8;
2010-08-31;6;58,4;962;15,3;6,2;1,9;
2010-09-30;12;224,6;958,2;17,5;8,3;2,1;
2010-10-31;11;155,4;957,6;18,2;7;2;
2010-11-30;7;75;954,8;20,5;6,4;1,8;
2010-12-31;16;197;952,8;22,6;6,9;2,1;
2011-01-31;17;177,4;953,4;23,9;5,8;1,4;
2011-02-28;16;217,8;955,4;23,3;6,8;1,8;
2011-03-31;9;145,2;956,8;22,1;6,1;1,9;
2011-04-30;13;156,4;958,4;19,8;8,9;1,2;
2011-05-31;16;72,2;961,3;15,7;6,1;1,5;
2011-06-30;19;302,6;960,2;13;7,4;1,4;
2011-07-31;16;376,6;960,1;14,3;7,5;1,6;
2011-08-31;15;215,8;959,3;15,6;11,4;2;
2011-09-30;10;99,6;960,8;17,4;7,6;2;
2011-10-31;13;284,6;956,2;20;8,4;2,2;
2011-11-30;9;78,8;956,3;21,2;6,8;1,9;
2011-12-31;7;63,6;954,5;22,6;7,4;1,9;
2012-01-31;9;121,4;954,9;24,3;6,9;2,2;
2012-02-29;null;null;null;null;null;null;
2012-03-31;3;null;null;20,2;5,2;null;
2012-04-30;14;145,8;958;19,2;7,2;1,5;
2012-05-31;6;19,4;961,3;17;5,6;1,6;
2012-06-30;13;125,6;960,7;14,7;5,6;1,6;
2012-07-31;16;209,6;961,1;13,4;7,5;1,8;
2012-08-31;8;17,4;962,6;19,2;8,1;2,3;
2012-09-30;11;98,6;959,8;18,8;9,9;2,3;
2012-10-31;18;298;956,3;20,2;10,2;2,2;
2012-11-30;7;95;955,3;23;8,2;2,3;
2012-12-31;20;272;953,8;24,1;9,3;2,1;
2013-01-31;8;105,8;956,4;23,1;8,3;2,3;
2013-02-28;15;173,6;955,8;22,8;6,6;1,9;
2013-03-31;14;218,8;957,6;20,1;8,7;2;
2013-04-30;12;165,2;959,4;18,9;5,9;1,1;
2013-05-31;18;110,4;959,7;16;6,3;,8;
2013-06-30;26;191,4;960,2;14,6;6,4;,7;
2013-07-31;10;57;962,6;13,9;5,4;,2;
2013-08-31;18;304,6;961,3;13,6;8,2;1,2;
2013-09-30;12;158,4;959,5;17;7;,4;
2013-10-31;15;183,6;958,1;19,3;5,3;,5;
2013-11-30;11;146;955,6;22,5;7,9;1,3;
2013-12-31;13;212,2;953,9;24;6,6;1,2;
2014-01-31;21;247,8;956,5;24,3;6,7;1,1;
2014-02-28;14;16,8;956,5;24,6;8,4;1,5;
2014-03-31;15;236,4;957,1;21,3;6,3;1,4;
2014-04-30;11;346;959,3;19,5;7,1;1,8;
2014-05-31;17;226;960;15,9;6,2;1,4;
2014-06-30;22;461;959,9;15,1;7,9;1,7;
2014-07-31;15;129,8;963;15;5,7;1,2;
2014-08-31;16;102,8;961,3;16,9;6,9;1,3;
2014-09-30;23;357,8;957,8;18,8;7,4;1,7;
2014-10-31;12;125,4;958;21,7;10,5;1,5;
2014-11-30;13;242;955,9;22,2;5,9;1,5;
2014-12-31;10;62,2;955,4;23,1;6,4;1,4;
2015-01-31;16;233,2;957,2;23,7;8,7;,6;
2015-02-28;22;55;956,1;23,3;7,4;,3;
2015-03-31;14;81,8;957,4;22,6;5,4;,3;
2015-04-30;16;111,2;959;19,8;6,3;,4;
2015-05-31;12;null;960,9;17,7;6,7;,2;
2015-06-30;10;null;null;14,1;5,6;null;
2015-07-31;23;334,4;960,6;14,9;7,3;,3;
2015-08-31;7;33;959,3;20,1;6,9;,5;
2015-09-30;14;65,8;956,7;18,4;9;,5;
2015-10-31;25;188,6;956,9;20,6;11;,6;
2015-11-30;19;368;954,9;21;6,7;1,1;
2015-12-31;17;560,4;955,2;23;7,5;2;
2016-01-31;7;214;954,9;25,1;9,4;2,1;
2016-02-29;17;245,4;956,3;24,1;8,8;1,6;
2016-03-31;13;247,4;958,5;21;7;1,7;
