Nome: PALMEIRA DAS MISSOES
Codigo Estacao: A856
Latitude: -27.92027777
Longitude: -53.31805554
Altitude: 614.11
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;14;137,8;941,5;22,7;10;2,7;
2010-02-28;11;150;942,1;23,9;10,8;3,2;
2010-03-31;5;1,8;942,6;21,7;8,1;2,2;
2010-04-30;7;15,6;946,1;18,6;7,6;2,6;
2010-05-31;18;35,8;946,2;14,5;7,5;2,5;
2010-06-30;10;120,6;947,7;14,4;8,8;3,1;
2010-07-31;12;199,6;947,7;13,8;10,1;3,3;
2010-08-31;6;43,8;947,9;14,6;9;3,2;
2010-09-30;16;198,4;944,3;16,2;12;2,9;
2010-10-31;10;119,2;943,8;17,2;8,9;2,4;
2010-11-30;1;,2;941;20,2;11,4;2,5;
2010-12-31;11;248,4;939,2;21,8;12,8;2,8;
2011-01-31;18;168,2;939,8;23,4;7,6;2,1;
2011-02-28;20;247,4;941,8;22,2;7;2,4;
2011-03-31;11;197,2;943,2;21,1;8,5;2,5;
2011-04-30;12;148,2;944,5;19,4;10;2,5;
2011-05-31;14;83;947,2;15;8,1;2,5;
2011-06-30;19;245;945,9;12,6;8,1;3;
2011-07-31;16;316,4;945,9;13,4;8,9;2,8;
2011-08-31;19;206;945,1;14,4;12,1;3,5;
2011-09-30;10;57;946,8;16,3;9,2;2,9;
2011-10-31;15;168,8;942,4;18,9;10,9;2,9;
2011-11-30;8;73,4;942,5;20,7;8,6;2,7;
2011-12-31;10;37,6;940,8;22,1;8,2;2,5;
2012-01-31;7;108;941,4;23,2;6,6;2,6;
2012-02-29;9;null;942;24,8;8,4;2,8;
2012-03-31;4;null;null;19,6;6,6;null;
2012-04-30;10;98,2;944,1;18,8;7,6;2,2;
2012-05-31;6;9,2;947,3;16,7;8,4;2,6;
2012-06-30;14;141,6;946,5;13,9;8,5;2,6;
2012-07-31;14;188,4;946,8;12,6;9,2;2,9;
2012-08-31;11;43;948,6;18,1;11,4;3,7;
2012-09-30;11;115,2;945,9;17,4;9,6;3;
2012-10-31;17;367,6;942,5;19,2;10,6;3,2;
2012-11-30;6;69,2;941,7;22,2;7,9;2,6;
2012-12-31;18;159,2;940,1;23,3;10,8;3,3;
2013-01-31;11;167,6;942,8;21,7;9,2;2,6;
2013-02-28;12;144,6;942,1;22;7,4;2,6;
2013-03-31;13;143;943,8;19,2;7;2,5;
2013-04-30;9;129;945,4;18,9;9,6;2,3;
2013-05-31;13;68,4;945,5;15,5;10,6;2,7;
2013-06-30;25;130,8;946;14,2;8,1;2,4;
2013-07-31;6;48,6;948,3;13,3;8,3;2,8;
2013-08-31;13;136,6;947,1;12,7;9,5;3,2;
2013-09-30;13;21;945,5;16,1;13,4;2,9;
2013-10-31;12;204,4;944,2;18,5;9,2;2,7;
2013-11-30;9;124;941,9;21,5;11,2;3,5;
2013-12-31;8;91;940,2;23,6;7,2;2,6;
2014-01-31;13;274;942,8;23,7;10,7;2,8;
2014-02-28;13;128;942,9;23,8;9,6;2,8;
2014-03-31;15;207,8;943,4;20,7;10;2,6;
2014-04-30;8;116;945,5;19;8,3;2,7;
2014-05-31;null;null;null;null;8;null;
2014-06-30;6;null;null;null;10,3;null;
2014-07-31;null;null;948,7;14,2;9,4;3,2;
2014-08-31;10;null;947,2;16,1;8,3;3,2;
2014-09-30;17;230,8;943,8;17,6;9,8;3,3;
2014-10-31;11;115;944,3;20,7;10,5;3,2;
2014-11-30;9;84;942,2;21,6;9,1;2,8;
2014-12-31;12;109,8;941,7;22,2;9,8;3;
2015-01-31;7;93,8;943,5;22,6;7,9;2,8;
2015-02-28;4;88,8;942,5;22,4;8,6;2,2;
2015-03-31;null;null;943,8;21,9;6,6;2,1;
2015-04-30;null;null;945,3;19,5;7,6;2,2;
2015-05-31;null;null;946,6;16,4;8,5;2,6;
2015-06-30;null;null;948;15;10,9;3,3;
2015-07-31;null;null;946,4;13,9;10,1;2,8;
2015-08-31;null;null;945,4;19,4;10,4;3,6;
2015-09-30;null;null;942,8;17,3;12,2;2,8;
2015-10-31;null;null;943,2;19,2;11,3;3;
2015-11-30;7;116,2;941,2;19,9;13,4;2,7;
2015-12-31;11;284;941,5;22;11,6;2,8;
2016-01-31;9;98,2;941,5;24;8,9;2,4;
2016-02-29;20;210,4;942,6;23,2;8,6;2,3;
2016-03-31;19;125;944,7;20,3;7,6;2,3;
2016-04-30;10;134,8;944,3;21;9,2;2,8;
2016-05-31;7;null;null;15;7,9;null;
2016-06-30;null;null;null;null;6,3;null;
2016-07-31;11;null;946,5;12,9;8,5;2,6;
2016-08-31;15;191;946;15,6;8,8;2,9;
2016-09-30;8;50,8;947;15,4;10,1;2,2;
2016-10-31;13;276,6;943,3;18,3;10,1;2,5;
2016-11-30;8;100,4;942,9;20,4;9,3;2,4;
2016-12-31;13;140,4;941,5;22,3;9;2,6;
2017-01-31;18;146,6;942,4;22,8;7;2,4;
2017-02-28;17;124,4;942,2;23,2;11;2,5;
2017-03-31;14;126,2;944;21,3;8,4;2,4;
2017-04-30;11;350,6;945,3;18,1;8,2;2,4;
2017-05-31;22;381,6;945,2;16,5;8,1;2,5;
2017-06-30;12;226,4;947;14,6;10,8;2,7;
2017-07-31;2;20,6;951,4;15,4;10,1;2,7;
2017-08-31;8;158,8;945,9;16,3;9,8;2,9;
2017-09-30;11;76,8;946,2;20,4;9,2;1,7;
2017-10-31;19;381,4;942,3;18,6;10,5;1,5;
2017-11-30;10;228,8;941,5;20;7,7;1,2;
2017-12-31;12;87,8;940,8;23,1;9,8;1,2;
2018-01-31;15;238,6;941,7;22,1;7,9;1,3;
2018-02-28;10;66,2;942,7;21,6;6;,9;
2018-03-31;18;165;942,2;21,5;7,4;,8;
2018-04-30;7;38,2;946,4;21,7;6,7;1,1;
2018-05-31;11;148,6;947,1;17;7,7;1,1;
2018-06-30;16;183,4;947,7;12,6;9,9;1,2;
2018-07-31;11;98,2;947,1;14,7;7,9;1,3;
2018-08-31;5;null;null;null;null;null;
2018-09-30;null;null;null;null;null;null;
2018-10-31;null;null;null;null;null;null;
2018-11-30;5;null;null;null;null;null;
2018-12-31;11;58,8;942,8;22,6;8,4;2,7;
2019-01-31;17;178,2;943,4;24,1;10,1;2,9;
2019-02-28;12;195;942,7;21,8;8,2;2,3;
2019-03-31;13;138,6;944,8;20,8;8,6;2,4;
2019-04-30;16;149,4;944,2;20,1;6,6;2;
2019-05-31;19;256,2;945;17,1;8,6;2,4;
2019-06-30;5;29,2;947,6;17,3;11,7;3,4;
2019-07-31;13;88,8;947,9;13,1;8,2;2,8;
2019-08-31;11;60,4;949,2;14,4;8,6;3,2;
