Nome: MOSTARDAS
Codigo Estacao: A878
Latitude: -31.24833333
Longitude: -50.90638888
Altitude: 3.82
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;14;58,8;1011,1;24,7;16,8;5,4;
2010-02-28;8;121;1010,9;25,8;20;5,1;
2010-03-31;10;34,4;1012,6;23,8;10,9;5,5;
2010-04-30;12;83,2;1016,7;21,3;12,8;5;
2010-05-31;14;null;1017,9;18,9;15,5;5,8;
2010-06-30;5;null;null;15,8;12,8;null;
2010-07-31;1;null;null;null;11,8;null;
2010-08-31;1;null;null;null;14,2;null;
2010-09-30;2;null;null;16,5;13,8;null;
2010-10-31;2;null;null;null;null;null;
2010-11-30;6;51,2;1011,9;19,4;14,2;6;
2010-12-31;12;25;1010;22,4;15,1;6,3;
2011-01-31;2;null;null;null;9,1;null;
2011-02-28;6;null;null;null;11;null;
2011-03-31;10;33,4;1014,9;21,9;11,2;5,6;
2011-04-30;10;null;null;21;15,4;null;
2011-05-31;14;68,2;1018,3;18;15;5,3;
2011-06-30;19;145,8;1016,4;14,3;12,6;4,8;
2011-07-31;21;111,2;1017,8;12,4;12,1;5;
2011-08-31;12;null;1016,2;14,2;16,3;6,7;
2011-09-30;10;88;1019,6;15,3;14;5,9;
2011-10-31;15;153,6;1013,6;18,3;14,3;6,1;
2011-11-30;4;22,8;1014,6;20,1;10,6;6,2;
2011-12-31;14;107,4;1011,6;21,6;15;6,1;
2012-01-31;6;66,8;1012,3;23,1;12,2;6,1;
2012-02-29;11;85;1010,4;24,4;11;4,6;
2012-03-31;13;107,8;1013,5;23,1;13,5;4,9;
2012-04-30;13;65,2;1014,5;19,7;13;5;
2012-05-31;13;29,6;1018,3;18,9;11,4;4,3;
2012-06-30;13;91,2;1017,3;14,2;11,8;3,9;
2012-07-31;15;153;1018,5;12,9;16,8;5,1;
2012-08-31;11;null;1020,5;16,6;12,5;5,6;
2012-09-30;12;190,4;1017,5;17,6;17,4;6,4;
2012-10-31;13;65,8;1012,6;19,4;23,3;5,7;
2012-11-30;8;38,4;1013,3;21,4;15,3;6;
2012-12-31;13;151;1009,1;23,6;12,4;5,7;
2013-01-31;6;96,2;1013,5;23,5;14,8;6,3;
2013-02-28;9;95,6;1011,7;24,2;11,9;5,8;
2013-03-31;15;69,4;1014,6;21,9;14,4;6;
2013-04-30;17;90,4;1015,5;20,2;11,4;5,1;
2013-05-31;17;83,4;1015,6;16,8;15,9;4,1;
2013-06-30;11;53,6;1017,1;14,5;13,2;4,4;
2013-07-31;17;35,8;1019,7;13,3;12,9;4,2;
2013-08-31;20;149,6;1019,1;12,9;16,1;5,5;
2013-09-30;17;167,4;1016,6;15,5;11,8;5,1;
2013-10-31;13;252,6;1016;17,9;13,8;5,3;
2013-11-30;10;72,4;1012,8;20,3;14,3;6,6;
2013-12-31;8;63,8;1010,5;22,5;13,3;5,3;
2014-01-31;14;140,8;1011,4;25,2;14,2;5;
2014-02-28;17;178,2;1012,4;25,2;14,7;5,7;
2014-03-31;14;124,8;1013,3;23;14,3;5,3;
