Nome: CANELA
Codigo Estacao: A879
Latitude: -29.36888888
Longitude: -50.82722221
Altitude: 830.93
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;23;316,2;918,9;20,1;7,5;2,8;
2010-02-28;15;216,4;919,6;21,3;8,3;3,1;
2010-03-31;22;278,2;919,8;18,7;7,2;2,3;
2010-04-30;19;219,6;923,1;15,8;8,6;2,6;
2010-05-31;24;263,4;922,6;12,9;8,8;2,5;
2010-06-30;17;134;924,4;11,7;8,5;3,1;
2010-07-31;14;203,8;924,1;13,2;10,3;3,7;
2010-08-31;15;88;924,7;12,3;10,9;3,1;
2010-09-30;14;227,8;921,4;14;10,3;3,6;
2010-10-31;16;46,2;920,5;13,6;9,2;2,5;
2010-11-30;16;202,4;917,9;16,1;8;2,6;
2010-12-31;17;102,4;916,9;18,6;8,4;2,9;
2011-01-31;17;75,6;917,3;20,5;6,9;2,3;
2011-02-28;24;262,4;919,3;19,6;7,6;2,5;
2011-03-31;13;219,6;921,1;18,1;9;3,3;
2011-04-30;20;168,8;921,4;16,2;7,3;2,5;
2011-05-31;20;61,2;923,6;12,6;7,8;2,8;
2011-06-30;14;173,8;921,9;10,9;8,5;3,1;
2011-07-31;17;null;922,4;12,5;8,8;3,2;
2011-08-31;23;186,8;920,9;12,4;13,3;4;
2011-09-30;12;95,4;924;13,3;9,4;3,2;
2011-10-31;18;163,4;919,4;15,5;10,1;3;
2011-11-30;9;25,4;920,2;16,8;7,7;3;
2011-12-31;14;89,8;918,1;17,6;7,2;2,7;
2012-01-31;18;304,8;919,1;19,2;7;2,7;
2012-02-29;18;211,4;919,2;21,4;7,5;3;
2012-03-31;11;103,2;921,1;18,4;7,5;2,6;
