Nome: Santa Vitoria do Palmar - Barra do Chui
Codigo Estacao: A899
Latitude: -33.74222221
Longitude: -53.37222221
Altitude: 7.41
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;9;38,6;1010,3;23;12,6;2,9;
2010-02-28;17;281,6;1010,3;23,6;0;0;
2010-03-31;8;156,2;1012;22;0;0;
2010-04-30;14;77;1016,1;18,8;0;0;
2010-05-31;14;72,6;1017,4;16,7;0;0;
2010-06-30;12;70,6;1018,3;13,1;0;0;
2010-07-31;19;175,8;1017,1;11,5;0;0;
2010-08-31;11;40,4;1019,2;11,8;0;0;
2010-09-30;15;116;1015,5;14,2;0;0;
2010-10-31;6;13,6;1015,1;15,5;13,6;,7;
2010-11-30;11;62,6;1011,8;17,2;16,2;5,4;
2010-12-31;9;33,8;1009,3;21,1;20;5,6;
2011-01-31;13;55,2;1009,6;23,3;9,7;4,5;
2011-02-28;12;166,8;1012,4;23;15,2;6,5;
2011-03-31;11;38,6;1014,4;21,5;12,8;5,7;
2011-04-30;12;164;1013,8;18,6;12,1;4,6;
2011-05-31;15;161;1017,8;15,1;16,2;4,7;
2011-06-30;17;66,8;1015;12,1;13,5;4,7;
2011-07-31;25;10,4;1017,1;10,4;13,7;4,8;
2011-08-31;10;98,6;1016,3;11,2;15,6;5,8;
2011-09-30;8;48,8;1018,7;13,6;13,4;5,3;
2011-10-31;13;125,8;1013;16;18,2;6,1;
2011-11-30;4;11,6;1013,7;19,3;13,6;5,6;
2011-12-31;13;41,8;1011,6;20,5;13,8;6;
2012-01-31;3;10,6;1012,5;23,1;14,6;6,1;
2012-02-29;null;null;null;null;null;null;
2012-03-31;null;null;null;null;null;null;
2012-04-30;4;null;null;null;null;null;
2012-05-31;10;29,2;1017;16,7;10,1;3,7;
2012-06-30;12;154,2;1015,6;11,2;13,7;4,1;
2012-07-31;10;47,2;1017,7;9,5;16,7;4,9;
2012-08-31;15;118,8;1018,2;14;12,2;4,7;
2012-09-30;20;40,2;1016,5;14,3;16,2;5,4;
2012-10-31;16;121;1011,4;16,8;13,7;4,9;
2012-11-30;12;73,2;1012,8;20;14,3;5,6;
2012-12-31;10;205,4;1007,5;22,6;16;4,7;
2013-01-31;10;44,4;1012,8;22,7;16,2;5,1;
2013-02-28;null;null;1011,5;22,8;20,2;5,9;
2013-03-31;8;46,2;1014,1;19,7;14,4;5,2;
2013-04-30;14;110;1014,5;18,1;12,9;4,5;
2013-05-31;18;128;1014,3;14,4;15,2;4,2;
2013-06-30;13;48,4;1015,8;12,2;13,6;4,4;
2013-07-31;18;77,2;1017,9;10,8;15;4,3;
2013-08-31;8;128,4;1018,4;11;13,9;5,8;
2013-09-30;17;236,4;1015,7;14,1;15,3;5,9;
2013-10-31;16;34,8;1015,7;15,9;14,6;5;
2013-11-30;13;121,8;1011,6;18,5;13,3;5,6;
2013-12-31;8;42,4;1009,5;22,2;17,2;4,8;
2014-01-31;16;206,2;1010,2;23,5;19;5,1;
2014-02-28;18;223,4;1012;23,2;20,3;5,4;
2014-03-31;16;89;1012,6;20,5;12,4;5,2;
2014-04-30;9;67,8;1015,9;18,6;12,8;5;
2014-05-31;19;61,2;1015,8;14,8;16,4;3,7;
2014-06-30;11;112,8;1017;13;14,1;5,6;
2014-07-31;12;97,6;1018,8;12,9;16,4;4,7;
2014-08-31;16;30,4;1016,1;12,8;11,7;4,1;
2014-09-30;13;149,4;1014,7;14,9;17,7;5,1;
2014-10-31;1;null;null;null;12,6;null;
2014-11-30;null;null;null;null;null;null;
2014-12-31;11;123;1010,5;21,6;17,2;4,2;
2015-01-31;11;215,8;1011,7;23,2;15,3;4,5;
2015-02-28;9;62,8;1012,9;23,4;12;4,3;
2015-03-31;2;null;null;null;null;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;11;65,8;1017,7;16,7;13,3;4,4;
2015-06-30;5;35;1017,2;12,9;15;4;
2015-07-31;16;48,6;1017,7;12,9;14,2;4;
2015-08-31;18;337,6;1014,1;15,8;15,5;5;
2015-09-30;11;105,2;1014,6;13,9;15,4;5,7;
2015-10-31;21;62,2;1015,8;15,1;15,4;6,1;
2015-11-30;10;60,8;1013;17,8;14,6;5,7;
2015-12-31;12;72,6;1010,6;21,3;14,5;5,1;
2016-01-31;7;27,2;1012;23;10,9;4,8;
2016-02-29;9;98,8;1011,4;23,6;12,7;4,5;
2016-03-31;13;113,6;1015,6;20,9;19,2;5,8;
2016-04-30;23;348,6;1013,2;18,9;17,8;5,6;
2016-05-31;15;58;1019,5;13,3;10,9;5;
2016-06-30;21;31,4;1020,6;10;9,1;3,8;
2016-07-31;18;161,8;1016,5;11,4;15;4,4;
2016-08-31;14;96,8;1016,8;12,2;14,7;4,3;
2016-09-30;18;97,2;1017,9;12,5;15,2;5,8;
2016-10-31;16;116,6;1015;15,6;17,9;5,7;
2016-11-30;9;52,6;1013,2;17,9;16;5,2;
2016-12-31;15;149,4;1010,2;20,9;15,4;4,9;
2017-01-31;11;77,4;1011,4;22,6;13,4;4,8;
2017-02-28;11;155,2;1009,8;24;11,9;4,1;
2017-03-31;13;59,2;1014,8;21,7;13,4;5,5;
2017-04-30;10;49,6;1014,9;18,8;15,8;5,3;
2017-05-31;15;127;1016,1;16,5;12,7;4,6;
2017-06-30;11;42,6;1015,9;13,9;17,7;4;
2017-07-31;10;71,4;1020,6;14,1;10,3;4,4;
2017-08-31;14;166,6;1016,3;14,3;14,8;5;
2017-09-30;20;164,2;1017,5;16,4;13,4;5,7;
2017-10-31;null;null;1012,3;17;14,6;5,8;
2017-11-30;null;null;1011,9;18;16;5,7;
2017-12-31;null;null;1011,3;21,4;19,3;5,8;
2018-01-31;null;null;1010,9;23,2;14,5;5,4;
2018-02-28;null;null;1013,4;22,5;11,9;5;
2018-03-31;null;null;1011,5;20,5;14,6;4,8;
2018-04-30;7;83;1015,7;21,6;12,5;4,3;
2018-05-31;12;38;1016,6;16,4;12,2;4,3;
2018-06-30;19;78,8;1017,1;10,9;17,5;4,5;
2018-07-31;20;194;1018,3;11,5;13,9;5,3;
2018-08-31;19;134,8;1018,6;11,8;17,1;4,9;
2018-09-30;15;103;1016,1;15,2;12,8;4,7;
2018-10-31;12;81,4;1015,8;15,7;14,3;5,3;
2018-11-30;10;93,2;1012,7;19,3;13,5;5,7;
2018-12-31;14;132;1011,8;20;16,7;5,5;
2019-01-31;14;213,4;1011,6;23,2;16,3;5,2;
2019-02-28;10;13,8;1012,4;22,8;16,8;4,7;
2019-03-31;12;85,6;1014,9;21,1;14;6,1;
2019-04-30;4;null;null;20,1;15,3;null;
2019-05-31;null;null;null;null;null;null;
2019-06-30;5;null;null;null;null;null;
2019-07-31;12;99,2;1018;11,1;14,1;4,6;
2019-08-31;18;108,4;1020,5;11,1;14,6;4,7;
2019-09-30;11;74,4;1017,4;12,8;14,9;4,8;
2019-10-31;19;286,6;1014,8;16,3;14,6;5,3;
2019-11-30;14;63,4;1012,9;19,4;11,2;4,7;
2019-12-31;13;69,6;1010,4;20,8;17,1;5,1;
2020-01-31;12;102,2;1011,3;22,4;15,3;5,2;
2020-02-29;9;78,2;1013,2;22,3;15,3;5,6;
2020-03-31;8;12,8;1015,1;22,4;11,6;5;
2020-04-30;15;67;1015,7;18,8;18,7;5,8;
2020-05-31;14;92;1014,7;15,2;17,4;4,9;
2020-06-30;21;256,6;1014,7;13,1;14,6;4,3;
2020-07-31;12;79;1016,1;11;23;4,3;
2020-08-31;20;62,2;1018;11,6;13,6;4,2;
2020-09-30;12;111,4;1017;12,7;14,3;5,1;
2020-10-31;17;47;1015,4;15,2;15,9;6,2;
2020-11-30;9;27,8;1015,9;19,1;12,5;5,5;
2020-12-31;7;43,8;1011,9;21,1;13,8;5,9;
2021-01-31;10;93,4;1011,1;23,2;14,2;5,8;
2021-02-28;16;341,4;1011,5;22,7;18,4;5,4;
2021-03-31;16;116,8;1012,8;22,2;12,5;5,3;
2021-04-30;14;119;1017;20;13,7;4,9;
2021-05-31;12;66;1015,5;14,1;13,6;4,6;
2021-06-30;16;178,2;1017,5;12,8;11,2;5;
2021-07-31;25;83,2;1018,7;10,9;12,7;4,1;
2021-08-31;18;57,2;1019,1;12,7;16,6;4,1;
2021-09-30;10;null;null;14,8;13,9;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;19;null;1014,5;12,7;14,7;4,3;
2022-08-31;11;null;1019,5;12,3;15;4,5;
2022-09-30;11;37,4;1018,6;13,3;17,3;5;
2022-10-31;17;139;1015,1;16;16,9;5,8;
2022-11-30;6;86,8;1016,3;19,3;12,8;4,8;
2022-12-31;11;49,4;1011,5;21,7;13,1;5,4;
2023-01-31;8;59,8;1011,6;23,8;11,5;5,4;
2023-02-28;11;102,4;1011;23,1;17,4;5,4;
2023-03-31;14;155;1012,7;23,9;17,4;4,8;
2023-04-30;10;16,2;1014,9;18,6;14,6;4,4;
2023-05-31;14;53,4;1017,1;16,8;14;4,2;
2023-06-30;10;25,4;1018;13,6;12,4;3,7;
2023-07-31;16;128,4;1018,5;13,2;20,7;5;
2023-08-31;10;53,2;1015,3;13,2;14,9;4,5;
2023-09-30;18;168,8;1014,7;14,1;16,4;6;
2023-10-31;11;55,8;1014,2;15,6;17,4;5,6;
2023-11-30;15;135,4;1011,4;18,3;15,1;5,7;
2023-12-31;14;96,4;1012,3;20,8;15,1;5,6;
2024-01-31;7;96,6;1014;22,8;12,4;5;
2024-02-29;11;88,6;1014;24;15,5;4,7;
2024-03-31;11;121,4;1013,3;22,1;15,6;4,4;
2024-04-30;11;61,2;1013,7;19,1;13,7;5,1;
2024-05-31;18;349,2;1016,1;14,3;16,2;4,8;
2024-06-30;17;113,8;1014,3;15;15,6;4;
2024-07-31;8;null;1022,4;11,2;11,8;3,5;
2024-08-31;16;null;1017,6;12,5;12,5;4,6;
2024-09-30;23;138,8;1014,7;14,5;12,7;4,3;
2024-10-31;11;75,6;1015,1;17,4;14,3;3,7;
2024-11-30;12;83;1013,4;20,2;13,4;4;
2024-12-31;14;151,2;1011,6;19,7;14;,5;

