Data,day_of_week,month,quarter,year,is_month_start,is_month_end,is_quarter_end,Target,Abertura_shifted,Máxima_shifted,Mínima_shifted,Último_shifted,Volume_shifted,MA_5_shifted,MA_10_shifted,MA_20_shifted,MA_50_shifted,BB_Upper_shifted,BB_Lower_shifted,BB_Width_shifted,BB_Position_shifted,RSI_shifted,MACD_shifted,Signal_Line_shifted,atr_5_shifted,atr_10_shifted,atr_20_shifted,volatility_5_shifted,volatility_10_shifted,volatility_20_shifted,Price_Range_shifted,Price_Position_shifted,Gap_shifted,hl_close_ratio_shifted,true_range_shifted,high_close_prev_shifted,low_close_prev_shifted,returns_shifted,Variacao_shifted,doji_prev,hammer_prev,shooting_star_prev,engulfing_bullish_prev,bullish_candle_prev,bearish_candle_prev,body_size_prev,upper_shadow_prev,lower_shadow_prev
2011-01-10,0,1,1,2011,0,0,0,1,70.58,70.783,69.718,70.057,1760000.0,70.4014,,,,,,,,,0.0013556282196987013,0.014480865093286504,1.0115999999999985,,,,,,1.0649999999999977,0.318309859154929,0.0010000000000047748,0.015201907018570559,1.0649999999999977,0.20400000000000773,0.86099999999999,-0.007395967639099332,-0.0074,0,0,0,0,0,1,0.5229999999999961,0.20300000000000296,0.33899999999999864
2011-01-11,1,1,1,2011,0,0,0,1,70.056,70.133,69.666,70.127,1610000.0,70.43440000000001,,,,,,,,,-0.010926393621090824,0.007594085365432472,0.8717999999999989,,,0.007954122293863658,,,0.46699999999999875,0.9871520342612414,-0.0010000000000047748,0.006659346614000296,0.46699999999999875,0.0759999999999934,0.39100000000000534,0.0009991863768072928,0.001,0,1,0,0,1,0,0.07099999999999795,0.006000000000000227,0.39000000000000057
2011-01-12,2,1,1,2011,0,0,0,0,70.146,70.647,70.145,70.423,2140000.0,70.45540000000001,,,,,,,,,-0.005205471752574908,0.004354858919977017,0.8242000000000018,,,0.007837517877580014,,,0.5020000000000095,0.55378486055777,0.019000000000005457,0.007128352952870646,0.5200000000000102,0.5200000000000102,0.018000000000000682,0.004220913485533551,0.0042,0,0,0,0,1,0,0.277000000000001,0.22400000000000375,0.0010000000000047748
2011-01-13,3,1,1,2011,0,0,0,1,70.429,71.633,70.429,71.633,2520000.0,70.5638,,,,,,,,,0.05626164742417927,0.016829036304910987,0.7920000000000016,,,0.010104713701397176,,,1.2039999999999935,1.0,0.006000000000000227,0.016807895802213976,1.2099999999999937,1.2099999999999937,0.006000000000000227,0.017181886599548335,0.0172,0,0,0,0,1,0,1.2039999999999935,0.0,0.0
2011-01-14,4,1,1,2011,0,0,0,0,71.631,71.924,70.719,70.721,2240000.0,70.5922,,,,,,,,,0.05272278696139665,0.02512067077637442,0.8934000000000026,,,0.011508584793395317,,,1.2050000000000125,0.0016597510373523063,-0.001999999999995339,0.01703878621625843,1.2050000000000125,0.291000000000011,0.9140000000000015,-0.012731562268786578,-0.0127,0,0,0,0,0,1,0.9099999999999966,0.29300000000000637,0.0020000000000095497
2011-01-17,0,1,1,2011,0,0,0,1,70.723,71.184,70.397,70.94,1810000.0,70.7688,70.5851,,,,,,,,0.0607259039352499,0.03309830988491089,0.8378000000000014,0.9247,,0.010643237540958528,,,0.7869999999999919,0.6899618805590823,0.001999999999995339,0.011093882153932788,0.7869999999999919,0.46299999999999386,0.32399999999999807,0.0030966756691788166,0.0031,0,0,0,0,1,0,0.21699999999999875,0.24399999999999977,0.3259999999999934
2011-01-18,1,1,1,2011,0,0,0,0,70.94,70.94,70.544,70.609,1540000.0,70.86519999999999,70.6498,,,,,,,,0.048023238170699756,0.03636379891375533,0.8236000000000019,0.8477000000000003,,0.0111400011258168,0.00913846967718305,,0.3960000000000008,0.16414141414140807,0.0,0.005608350210313144,0.3960000000000008,0.0,0.3960000000000008,-0.004665914857626241,-0.004699999999999999,0,0,0,0,0,1,0.33100000000000307,0.0,0.06499999999999773
2011-01-19,2,1,1,2011,0,0,0,0,70.612,71.094,70.612,70.92,1880000.0,70.9646,70.71000000000001,,,,,,,,0.055140462220791164,0.0403962387292529,0.8165999999999997,0.8204000000000008,,0.011151837950397968,0.009106629366989817,,0.4819999999999993,0.6390041493776086,0.0030000000000001137,0.006796390298928361,0.48499999999999943,0.48499999999999943,0.0030000000000001137,0.004404537665170238,0.0044,0,0,0,0,1,0,0.30800000000000693,0.17399999999999238,0.0
2011-01-20,3,1,1,2011,0,0,0,0,70.921,71.19,69.966,70.058,1880000.0,70.64959999999999,70.6067,,,,,,,,0.01099452507537535,0.0341738146151573,0.8194000000000017,0.8057000000000016,,0.008113846954586319,0.009194743854576692,,1.2240000000000038,0.07516339869282082,0.0010000000000047748,0.017471238116988832,1.2240000000000038,0.269999999999996,0.9540000000000077,-0.012154540327129038,-0.012199999999999999,0,0,0,0,0,1,0.8629999999999995,0.26899999999999125,0.09200000000001296
2011-01-21,4,1,1,2011,0,0,0,1,70.056,70.083,69.177,69.562,2170000.0,70.4178,70.50500000000001,,,,,,,47.08879184861712,-0.050938353776274425,0.016368285484140675,0.7595999999999975,0.8265,,0.006979097064476846,0.009186290589365412,,0.9059999999999917,0.42494481236202475,-0.0020000000000095497,0.013024352376297284,0.9059999999999917,0.024999999999991473,0.8810000000000002,-0.007079848125838728,-0.0070999999999999995,0,0,0,0,0,1,0.4939999999999998,0.027000000000001023,0.3849999999999909
